Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
Julian Champagnie,20,0,2024-25,23,SAS,20,20,0,1.2,115,113,0.5,0.6,0.096,0.1,-0.2,-0.1,0.3,13.1,3.5,15.5,9.7,8.2,1.6,2,9.9,16.4,F,champju02
Brandon Clarke,11,0,2024-25,28,MEM,20,11,0,1.2,127,107,0.6,0.6,0.166,-1.5,1,-0.6,0.1,14.9,9.2,18,13.8,5.9,2.1,1.8,5.8,13.6,F,clarkbr01
John Collins,10,0,2024-25,27,UTA,19,10,0,1.5,118,115,1.1,0.5,0.134,2,0.3,2.3,0.6,21.2,10,23.5,16.8,15.3,2.1,2.6,14.7,24.3,F,collijo01
Mike Conley,16,0,2024-25,37,MIN,16,16,0,1,113,110,0.4,0.6,0.112,-1.4,1.6,0.2,0.2,12.8,2.3,10.8,6.6,25.3,3.1,0.7,14.9,16.4,G,conlemi01
Bilal Coulibaly,17,0,2024-25,20,WAS,17,17,0,0.4,110,121,0.3,0.1,0.03,-2,-1,-3,-0.2,11.7,4.6,11.7,8.2,11.5,1.7,1.7,14.6,15.3,F,coulibi01
Cade Cunningham,18,0,2024-25,23,DET,18,18,0,1,106,112,0.2,0.8,0.075,2.4,-0.1,2.3,0.7,18.1,3.3,18,10.9,42.5,1.3,2.1,17.8,31.5,G,cunnica01
Stephen Curry,15,0,2024-25,36,GSW,15,15,0,1.8,119,107,1.1,0.8,0.198,6.8,1.5,8.3,1.2,23.2,1.6,17,9.2,33.7,2.3,1.7,16,28.9,G,curryst01
Dyson Daniels,20,0,2024-25,21,ATL,20,20,0,0.7,102,111,-0.2,0.9,0.052,-2.9,2,-0.9,0.2,13.3,5.2,11.1,8.1,12.4,4.2,2.7,11.8,18.7,G,daniedy01
Tristan Da Silva,13,0,2024-25,23,ORL,18,13,0,0.8,110,110,0.2,0.6,0.092,-2.2,0.2,-2,0,9.5,3.6,14.4,8.8,10.7,0.9,0.7,6.2,14.3,F,dasiltr01
Anthony Davis,20,0,2024-25,31,LAL,20,20,0,3.3,125,111,2.4,0.9,0.225,5.8,0.8,6.5,1.5,28.5,8.3,28.6,18.6,16.4,1.7,5.1,8,30.1,F-C,davisan02
DeMar DeRozan,16,0,2024-25,35,SAC,16,16,0,1.7,119,115,1.2,0.5,0.14,2.1,-0.1,1.9,0.6,20,1.8,11.3,6.6,19.2,2.1,1.6,8.2,25.6,G-F,derozde01
Gradey Dick,17,0,2024-25,21,TOR,17,17,0,0.7,112,120,0.5,0.2,0.057,-0.4,-1.6,-2,0,12.5,2.1,8.1,5.1,9.8,1.3,0.8,10.1,22.8,G,dickgr01
Luka Dončić,15,0,2024-25,25,DAL,15,15,0,1.9,115,110,1.1,0.8,0.162,5.1,0.5,5.5,1.1,23,1.6,20.4,11.2,34.6,2.2,0.8,11.3,33.4,G-F,doncilu01
Luguentz Dort,20,0,2024-25,25,OKC,20,20,0,1.9,122,106,0.8,1.1,0.154,-0.5,1.3,0.8,0.4,12.6,5,11.3,8.2,8.7,1.9,2.7,7,13.6,G,dortlu01
Andre Drummond,11,0,2024-25,31,PHI,17,11,0,0.6,103,107,0,0.6,0.08,-2.7,-0.2,-2.9,-0.1,16.2,15.1,32.5,23.1,4.8,3.2,2.3,18.7,19.6,C,drumman01
Kris Dunn,11,0,2024-25,30,LAC,22,11,0,1.2,111,106,0.3,0.9,0.113,-2.3,3.1,0.9,0.4,12,3.8,15.2,9.4,17,3.2,1.4,15.1,13.7,G,dunnkr01
Kevin Durant,12,0,2024-25,36,PHO,12,12,0,1,113,115,0.6,0.4,0.105,2.8,-0.2,2.7,0.5,20.6,0.8,19.8,10.3,15,0.8,3.9,13.9,28.5,F-G,duranke01
Jalen Duren,20,0,2024-25,21,DET,20,20,0,1.7,125,109,1,0.8,0.172,-0.5,1.6,1.1,0.4,18.5,14.5,28.7,21.8,15.3,0.5,5,22.4,14.7,C,durenja01
Anthony Edwards,20,0,2024-25,23,MIN,20,20,0,1.7,110,111,0.7,1,0.111,3.3,-0.3,3,0.9,18.8,2.1,14.9,8.5,17.8,1.7,1.5,11.6,30.7,G-F,edwaran01
Dorian Finney-Smith,15,0,2024-25,31,BRK,15,15,0,0.8,120,118,0.6,0.2,0.087,0.3,-0.4,-0.1,0.2,12.5,7.2,10.4,8.8,9.2,1.6,1.8,11,15,F,finnedo01
De'Aaron Fox,21,0,2024-25,27,SAC,21,21,0,2,114,115,1.3,0.6,0.12,2.7,-1.4,1.3,0.6,20.6,3.1,12,7.6,26,2.1,0.4,13.5,30.9,G,foxde01
Daniel Gafford,12,0,2024-25,26,DAL,20,12,0,2.5,144,110,1.9,0.6,0.28,4.2,0.8,5,0.8,26.3,15,18.9,17,9.9,1.2,5,9.4,18.9,C-F,gaffoda01
Darius Garland,20,0,2024-25,25,CLE,20,20,0,2.5,125,116,2,0.5,0.194,4.5,-1.1,3.4,0.8,21.5,2.1,7,4.6,32.1,1.7,0.8,12.5,26.5,G,garlada01
Keyonte George,19,0,2024-25,21,UTA,19,19,0,-0.3,101,123,-0.3,-0.1,-0.026,-1.8,-3.1,-4.9,-0.4,10.1,1.6,8.7,5.2,28.1,1,0.2,18,24.2,G,georgke01
Josh Giddey,22,0,2024-25,22,CHI,22,22,0,0.9,111,117,0.6,0.3,0.073,0.8,-0.3,0.5,0.4,15.7,5,19.5,12.3,34.4,1.3,1.4,18.1,21.3,G,giddejo01
Shai Gilgeous-Alexander,20,0,2024-25,26,OKC,20,20,0,3.8,122,105,2.4,1.4,0.263,7.7,2.5,10.2,2.1,28.1,2.9,13.5,8.2,32.5,2.4,3,10.3,33.4,G,gilgesh01
Rudy Gobert,20,0,2024-25,32,MIN,20,20,0,2.5,133,109,1.5,1,0.178,-0.8,1,0.2,0.4,16,12.1,25.5,18.9,7.7,0.6,4,18.2,11.9,C,goberru01
Jerami Grant,19,0,2024-25,30,POR,19,19,0,0.7,109,117,0.4,0.4,0.058,-0.6,-0.5,-1,0.2,12.2,1.2,10.7,5.7,11,1.4,2.9,8.5,21,F,grantje01
Draymond Green,19,0,2024-25,34,GSW,19,19,0,1.4,114,107,0.5,1,0.127,-0.8,2.7,1.8,0.5,13.1,3.3,18.8,11,27,1.7,3.3,22.5,14.6,F,greendr01
Javonte Green,12,0,2024-25,31,NOP,22,12,0,0.6,115,118,0.4,0.3,0.057,-2.7,0.1,-2.6,-0.1,11,4.5,11.5,7.8,5.3,2.3,2.8,8.2,11.6,F,greenja02
Jalen Green,21,0,2024-25,22,HOU,21,21,0,1.1,103,107,-0.1,1.2,0.075,-0.7,0.2,-0.5,0.2,12.6,1.6,13.4,7.5,12.5,1.4,0.9,12.4,26.2,G,greenja05
Josh Green,17,0,2024-25,24,CHO,18,17,0,0.7,120,118,0.5,0.3,0.074,-3.2,-0.3,-3.5,-0.2,8.7,3.5,6.7,5,8.8,1.3,1,10.9,11.4,G-F,greenjo02
Rui Hachimura,16,0,2024-25,26,LAL,16,16,0,1,121,119,0.8,0.2,0.09,-0.2,-1.3,-1.5,0.1,13.2,7.2,11.8,9.5,7.7,1.2,1.4,5.6,15.3,F,hachiru01
Tyrese Haliburton,21,0,2024-25,24,IND,21,21,0,1.6,119,120,1.4,0.2,0.106,3.2,-1.9,1.3,0.6,17.3,2.7,8.4,5.6,34.4,1.8,1.3,10.6,21.7,G,halibty01
Tim Hardaway Jr.,19,0,2024-25,32,DET,19,19,0,0.8,117,119,0.5,0.2,0.069,-1.8,-1.4,-3.1,-0.1,8.8,0.6,6.1,3.5,8.8,0.5,0,6.7,14.6,G,hardati02
James Harden,22,0,2024-25,35,LAC,22,22,0,2.4,111,107,1,1.4,0.149,3.8,1.8,5.7,1.5,20.6,2,21.2,11.6,40.1,2.4,2.2,18.2,30.3,G,hardeja01
Tobias Harris,21,0,2024-25,32,DET,21,21,0,1.1,108,111,0.3,0.8,0.08,-1.5,0.4,-1.2,0.1,12.7,3.5,19.9,11.9,11.1,1.1,2.6,9.5,18.6,F,harrito02
Josh Hart,20,0,2024-25,29,NYK,20,20,0,2.8,136,114,2.1,0.7,0.179,2.2,1.1,3.2,1,17.7,5.7,20,13.1,19.4,1.8,1.1,15.2,14.1,G,hartjo01
Tyler Herro,19,0,2024-25,25,MIA,19,19,0,1.8,117,115,1.2,0.6,0.131,3.8,-1,2.8,0.8,19,0.8,15.4,8,24.4,1,0.3,11.1,27,G,herroty01
Haywood Highsmith,11,0,2024-25,28,MIA,17,11,0,0.9,119,111,0.4,0.5,0.103,-2.6,1.4,-1.1,0.1,11.2,3.3,9.7,6.5,6.4,2.4,3.5,8.5,10.8,F,highsha01
Jrue Holiday,19,0,2024-25,34,BOS,19,19,0,1.4,118,114,0.8,0.6,0.112,-0.6,-0.1,-0.7,0.2,12.9,3.7,11.3,7.5,17.7,1.2,0.9,13.8,16.5,G,holidjr01
Chet Holmgren,10,0,2024-25,22,OKC,10,10,0,1.1,113,98,0.3,0.7,0.195,2.1,3.5,5.7,0.5,22.6,6.3,27.7,17.1,11.3,1.5,9.8,14.8,25,F-C,holmgch01
Al Horford,15,0,2024-25,38,BOS,16,15,0,1.3,125,110,0.7,0.6,0.143,1.2,1.4,2.6,0.5,13.8,4,16.6,10.2,11.4,1.4,2.8,10.3,13.3,C-F,horfoal01
Kevin Huerter,15,0,2024-25,26,SAC,18,15,0,0.3,101,114,-0.1,0.4,0.034,-3.3,-0.2,-3.5,-0.2,9.6,1.3,13.6,7.6,10.9,2,2.2,10.8,16.5,G,huertke01
Brandon Ingram,16,0,2024-25,27,NOP,16,16,0,0.1,104,120,0,0.1,0.01,1.7,-2,-0.3,0.2,16.8,3.1,16,9.3,30.1,1.2,1.7,15.8,30.8,F,ingrabr01
Kyrie Irving,19,0,2024-25,32,DAL,19,19,0,2.8,126,114,2.2,0.6,0.199,6,0.1,6.2,1.4,22.3,3.6,11,7.4,24.3,1.7,0.5,9.4,26.3,G,irvinky01
Jaden Ivey,21,0,2024-25,22,DET,21,21,0,0.9,107,114,0.3,0.6,0.07,0.4,-0.7,-0.3,0.3,15.4,5,10.2,7.7,22.7,1.5,1.3,15.6,27.1,G,iveyja01
Andre Jackson Jr.,10,0,2024-25,23,MIL,18,10,0,-0.1,86,113,-0.5,0.4,-0.014,-6.6,0.2,-6.4,-0.4,5,5,15.1,10.2,9.9,1.9,1.7,29.8,11.9,G,jacksan01
Jaren Jackson Jr.,19,0,2024-25,25,MEM,19,19,0,2.1,117,105,1,1.1,0.186,2,1.2,3.2,0.7,22.3,5.7,15.8,11,6.5,2.2,6.1,10.8,28.4,F,jacksja02
Trayce Jackson-Davis,18,0,2024-25,24,GSW,19,18,0,1.2,124,108,0.7,0.5,0.181,1.1,1.4,2.5,0.4,19.2,9.7,21.1,15.4,18.3,0.7,3.9,11.4,18.2,F,jackstr02
LeBron James,21,0,2024-25,40,LAL,21,21,0,1.3,111,117,0.8,0.5,0.084,3.8,-0.8,3,0.9,20.1,3.1,23,13.1,42.7,0.9,1.3,17.4,29.3,F-G,jamesle01
Cameron Johnson,21,0,2024-25,28,BRK,21,21,0,2.3,131,119,2,0.3,0.161,4.6,-0.4,4.2,1.1,18.7,2.7,13,7.7,15,1.2,1.3,5.5,20.1,F,johnsca02
Jalen Johnson,21,0,2024-25,23,ATL,21,21,0,1.5,111,113,0.7,0.8,0.096,1,0.7,1.7,0.7,17.8,4.9,23.9,14.3,22.6,1.7,3,15.9,22.7,F,johnsja05
Nikola Jokić,15,0,2024-25,29,DEN,15,15,0,3.5,132,111,2.8,0.7,0.301,10.8,2.9,13.7,2.2,32.4,12.3,26.1,19.3,47.7,1.9,2.1,14.2,29.8,C-F,jokicni01
Derrick Jones Jr.,22,0,2024-25,27,LAC,22,22,0,1.3,114,110,0.5,0.8,0.111,-1.5,0.9,-0.6,0.2,12.5,5.7,9.8,7.7,5.3,2.5,0.7,12,16,F,jonesde02
Tyus Jones,19,0,2024-25,28,PHO,19,19,0,1.7,130,119,1.5,0.2,0.135,1.7,-0.8,0.9,0.4,15.6,2.4,7,4.7,32.3,1.7,0.3,10.1,14.8,G,jonesty01
Walker Kessler,14,0,2024-25,23,UTA,14,14,0,1.3,133,113,0.9,0.4,0.163,0.9,2,2.9,0.5,21,14.8,25.7,20.3,7.9,1,9.5,16.3,12.9,C,kesslwa01
Kyle Kuzma,12,0,2024-25,29,WAS,12,12,0,-0.7,90,122,-0.7,0,-0.105,-3.6,-2.9,-6.5,-0.4,9.8,2.6,19.2,10.9,11.6,0.7,0.8,12.9,28.3,F,kuzmaky01
Zach LaVine,19,0,2024-25,29,CHI,19,19,0,1.1,115,120,0.9,0.2,0.083,2,-1.7,0.3,0.4,17.2,0.7,12.7,6.8,18.5,1.1,0.8,13.1,24.5,G-F,lavinza01
Damian Lillard,16,0,2024-25,34,MIL,16,16,0,2.3,124,116,1.9,0.4,0.192,5.1,-1,4.1,0.9,23,1.9,11.3,6.7,33.8,1.3,0.6,11.5,29.2,G,lillada01
Brook Lopez,19,0,2024-25,36,MIL,19,19,0,1.5,116,111,0.6,0.8,0.113,0.1,1.4,1.6,0.6,15,4,12.2,8.2,7.9,1.9,6.8,10.3,15.7,C,lopezbr01
Kyle Lowry,10,0,2024-25,38,PHI,13,10,0,0.6,120,114,0.4,0.3,0.097,-1.8,1.6,-0.2,0.1,11.5,2,9.1,5.3,20.2,2.5,1.6,13.4,11.4,G,lowryky01
Terance Mann,11,0,2024-25,28,LAC,22,11,0,1.1,115,110,0.4,0.7,0.109,-2.4,1.5,-0.9,0.1,11,5.6,11.1,8.4,11.9,2.3,0.9,8.2,13.4,G-F,mannte01
Lauri Markkanen,16,0,2024-25,27,UTA,16,16,0,1.5,126,121,1.4,0.1,0.138,3.7,-1.4,2.3,0.6,18.6,5.8,16.6,11.2,11.5,1.1,0.4,8,22.5,F-C,markkla01
Caleb Martin,15,0,2024-25,29,PHI,16,15,0,0.2,101,115,-0.2,0.4,0.022,-2.9,-0.4,-3.3,-0.2,9.7,5.2,13.2,8.9,11.8,1.6,1.8,17.2,15.9,F,martica02
Bennedict Mathurin,16,0,2024-25,22,IND,21,16,0,1.3,117,119,1.1,0.2,0.091,0.7,-2.3,-1.6,0.1,16.1,4.5,19.5,12,8.2,1,0.7,12.2,22.4,G-F,mathube01
Tyrese Maxey,12,0,2024-25,24,PHI,12,12,0,0.8,109,114,0.4,0.4,0.086,3,-0.1,2.8,0.5,18.9,0.5,10.4,5,24.3,2.7,0.9,7,31.7,G,maxeyty01
Jaden McDaniels,20,0,2024-25,24,MIN,20,20,0,0.9,106,111,0.1,0.8,0.068,-3,0.9,-2.1,0,9.9,4.7,9.3,7,9,1.9,2.6,10.8,15.5,F,mcdanja02
Brandon Miller,16,0,2024-25,22,CHO,16,16,0,0.6,105,113,0.1,0.6,0.056,1.1,-0.2,1,0.4,14.8,3.2,14.1,8.4,18.5,2.1,2.4,13.1,27.6,F-G,millebr02
Yves Missi,15,0,2024-25,20,NOP,21,15,0,1.1,120,117,0.7,0.3,0.1,-1.4,-1.1,-2.5,-0.1,17.5,14.8,19.6,17.1,8.5,1.4,4.7,14.4,15.3,C,missiyv01
Davion Mitchell,13,0,2024-25,26,TOR,21,13,0,0,101,119,-0.2,0.2,0.002,-4.2,-0.8,-5,-0.5,7.4,1.9,6.8,4.3,24.7,1.6,0.7,22.7,14.1,G,mitchda01
Donovan Mitchell,20,0,2024-25,28,CLE,20,20,0,1.9,115,112,1.1,0.7,0.142,3.1,-0.7,2.5,0.7,21.1,2.2,14.3,8.5,18.6,2.3,0.9,8.9,31.3,G,mitchdo01
Evan Mobley,20,0,2024-25,23,CLE,20,20,0,2.2,119,108,1.2,1,0.169,1,0.9,1.9,0.6,20.9,8.5,24,16.6,12.4,1.6,4.8,13.5,23,F-C,mobleev01
Ja Morant,11,0,2024-25,25,MEM,11,11,0,1.1,116,111,0.7,0.4,0.177,4.5,-0.5,4,0.5,22.3,1.8,14.2,8.2,48.6,1.4,1.2,16.9,32.4,G,moranja01
Jamal Murray,15,0,2024-25,27,DEN,15,15,0,0.9,112,117,0.6,0.4,0.082,-0.2,-1,-1.2,0.1,15,1.7,10.6,6.2,24.3,1.9,1.2,10.5,22.5,G,murraja01
Keegan Murray,21,0,2024-25,24,SAC,21,21,0,0.9,109,116,0.3,0.6,0.055,-2.2,-1.7,-3.9,-0.4,10.4,8.1,16.1,12.2,6,0.9,2,8.3,15.6,F,murrake02
Jusuf Nurkić,16,0,2024-25,30,PHO,16,16,0,0.2,96,109,-0.4,0.6,0.028,-4.1,0.1,-4,-0.2,12,8.5,37.3,23,7.8,1.9,2.4,21.5,19.7,C,nurkiju01
Isaac Okoro,12,0,2024-25,24,CLE,19,12,0,1.1,136,115,0.8,0.3,0.136,-0.2,0.6,0.4,0.2,11.8,5,7.3,6.2,9.9,1.7,1.9,6.2,10.6,G-F,okorois01
Kelly Oubre Jr.,15,0,2024-25,29,PHI,18,15,0,0.3,102,115,-0.1,0.5,0.03,-3.1,-0.7,-3.8,-0.2,11,5.4,14.2,9.4,7.2,1.8,1.8,10,19.8,F,oubreke01
Chris Paul,20,0,2024-25,39,SAS,20,20,0,2.1,130,113,1.6,0.6,0.18,2,0.5,2.6,0.7,17.6,1.4,11.5,6.7,41.3,2.3,0.8,17.3,15.8,G,paulch01
Jakob Poeltl,21,0,2024-25,29,TOR,21,21,0,1.9,119,112,1.1,0.8,0.136,0.2,0,0.3,0.4,19.5,14.4,25.8,20,11.3,1.6,3.8,14.5,19.6,C,poeltja01
Jordan Poole,16,0,2024-25,25,WAS,16,16,0,0.4,108,120,0.3,0.1,0.043,2,-1.2,0.8,0.3,17.7,0.9,7.2,4,27.2,2.9,1.5,16.2,29,G,poolejo01
Michael Porter Jr.,18,0,2024-25,26,DEN,18,18,0,1.6,121,117,1.1,0.4,0.116,1.7,-1.5,0.2,0.4,16,5,16.9,11.1,11.3,1,0.8,6.7,19.7,F,portemi01
Norman Powell,16,0,2024-25,31,LAC,16,16,0,1.7,119,112,1.1,0.6,0.154,4.3,-0.2,4,0.8,19.2,0.8,8.9,4.9,11.8,1.7,0.6,10.1,26.6,G,powelno01
Taurean Prince,19,0,2024-25,30,MIL,19,19,0,1.1,121,115,0.6,0.5,0.094,-1.2,-0.1,-1.4,0.1,11,2.9,14.2,8.7,8.5,1.5,0.5,15.2,11.6,F,princta02
Julius Randle,20,0,2024-25,30,MIN,20,20,0,2.1,118,113,1.4,0.8,0.152,1.7,-0.3,1.3,0.6,18.7,6.1,17.1,11.7,20,1.2,0.1,14.1,25.9,F-C,randlju01
Austin Reaves,19,0,2024-25,26,LAL,19,19,0,0.8,111,120,0.6,0.2,0.058,0,-1.8,-1.8,0,14.1,2.7,9.2,6,21.2,1.5,0.6,13.4,21.9,G,reaveau01
Zaccharie Risacher,20,0,2024-25,19,ATL,22,20,0,0.3,103,116,-0.1,0.4,0.024,-2.9,-1.2,-4.1,-0.3,11.2,4.9,10.4,7.7,7.8,1.7,3.1,9.3,21.1,F,risacza01
Terry Rozier,12,0,2024-25,30,MIA,17,12,0,0.4,105,116,0,0.4,0.041,-2.1,-1.5,-3.6,-0.2,11,2.1,11.1,6.6,16.8,1,1.2,12.7,19.8,G,roziete01
Domantas Sabonis,19,0,2024-25,28,SAC,19,19,0,3.1,129,113,2.3,0.8,0.212,4.4,1.1,5.5,1.3,23.3,10.5,29.7,20.3,26.9,1.1,1.3,19.6,21.7,C-F,sabondo01
Alex Sarr,18,0,2024-25,19,WAS,18,18,0,-0.1,98,118,-0.4,0.2,-0.013,-3.2,-0.9,-4.1,-0.3,11.8,7.7,16.5,12.1,11.6,1.3,6.2,10,19.9,F,sarral01
Dennis Schröder,20,0,2024-25,31,BRK,20,20,0,1.4,116,119,1.1,0.3,0.096,1.3,-1.1,0.2,0.4,16.3,0.7,10.3,5.3,31.2,1.7,0.6,13.3,24.1,G,schrode01
Alperen Sengun,21,0,2024-25,22,HOU,21,21,0,3,118,101,1.4,1.6,0.22,4.3,3.3,7.6,1.5,23.4,11.6,24.8,18.1,27.4,1.8,3.6,10.7,26,C-F,sengual01
Collin Sexton,18,0,2024-25,26,UTA,20,18,0,0.8,115,123,0.8,0,0.066,0.2,-1.9,-1.6,0.1,15,2.7,7.2,5,18.6,1.2,0.5,14.4,24.1,G,sextoco01
Shaedon Sharpe,11,0,2024-25,21,POR,13,11,0,0.3,108,119,0.2,0.2,0.042,-0.6,-1.9,-2.4,0,13.6,2.8,8.4,5.5,12.5,1.4,0.7,10.3,25,G,sharpsh01
Pascal Siakam,21,0,2024-25,30,IND,21,21,0,2.2,126,120,2,0.2,0.145,3.5,-1.6,1.9,0.7,19.8,6,15.5,10.8,18,1.1,0.6,8.2,22.7,F-C,siakapa01
Ben Simmons,13,0,2024-25,28,BRK,16,13,0,0.6,112,115,0.3,0.3,0.079,-1.7,2.1,0.4,0.2,12.9,5.1,23.8,14.2,39.1,1.7,2.1,36.3,13.4,G-F,simmobe01
