Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
123,Collin Sexton,18,0,2024-25,26,UTA,20,18,0,0.8,115,123,0.8,0,0.066,0.2,-1.9,-1.6,0.1,15,2.7,7.2,5,18.6,1.2,0.5,14.4,24.1,G,sextoco01
124,Shaedon Sharpe,11,0,2024-25,21,POR,13,11,0,0.3,108,119,0.2,0.2,0.042,-0.6,-1.9,-2.4,0,13.6,2.8,8.4,5.5,12.5,1.4,0.7,10.3,25,G,sharpsh01
125,Pascal Siakam,21,0,2024-25,30,IND,21,21,0,2.2,126,120,2,0.2,0.145,3.5,-1.6,1.9,0.7,19.8,6,15.5,10.8,18,1.1,0.6,8.2,22.7,F-C,siakapa01
126,Ben Simmons,13,0,2024-25,28,BRK,16,13,0,0.6,112,115,0.3,0.3,0.079,-1.7,2.1,0.4,0.2,12.9,5.1,23.8,14.2,39.1,1.7,2.1,36.3,13.4,G-F,simmobe01
127,Anfernee Simons,18,0,2024-25,25,POR,18,18,0,0.5,107,119,0.2,0.2,0.04,0.2,-1.9,-1.7,0,13.1,0.8,8.6,4.5,23.1,1.4,0.2,13.5,25,G,simonan01
128,Jabari Smith Jr.,21,0,2024-25,21,HOU,21,21,0,2.1,124,107,1,1.1,0.163,0,0.4,0.4,0.4,13.5,6.5,17.7,12,3.9,0.5,2.5,5.6,15.5,F,smithja05
129,Jalen Suggs,21,0,2024-25,23,ORL,21,21,0,1.2,104,105,0,1.2,0.096,-0.8,1.5,0.7,0.4,14.6,2.4,14.5,8.3,21.8,2.3,3.5,16.7,24.6,G,suggsja01
130,Jayson Tatum,21,0,2024-25,26,BOS,21,21,0,3.2,119,108,2,1.2,0.203,5.3,1.1,6.4,1.6,23.6,1.4,25,13.2,25.7,1.8,1.4,11.1,31.7,F,tatumja01
131,Cam Thomas,17,0,2024-25,23,BRK,17,17,0,0.8,112,120,0.7,0.1,0.072,2.3,-2.3,0,0.3,17.9,1.2,10.6,5.8,17.9,1,0.2,12.2,31,G,thomaca02
132,Klay Thompson,17,0,2024-25,34,DAL,17,17,0,0.6,108,115,0.2,0.4,0.061,0.6,-1.3,-0.7,0.1,11.5,2.7,10.7,6.8,8.6,1.1,1.3,6.9,20.3,G-F,thompkl01
133,Karl-Anthony Towns,19,0,2024-25,29,NYK,19,19,0,3.3,128,111,2.4,0.8,0.247,5.8,-0.2,5.6,1.2,27.2,10.7,33.7,22.6,15,1.3,2.3,10,28.4,C-F,townska01
134,Myles Turner,19,0,2024-25,28,IND,19,19,0,0.3,102,115,-0.2,0.5,0.025,-2.1,-1.1,-3.2,-0.2,13.6,5,21.5,13.3,6.3,1.3,5.6,15.9,21.7,C-F,turnemy01
135,Fred VanVleet,20,0,2024-25,30,HOU,20,20,0,2.5,119,106,1.2,1.3,0.171,0.9,2.1,3,0.9,15.7,1.6,11.2,6.3,25.3,2.3,1,7.5,19.6,G,vanvlfr01
136,Nikola Vučević,22,0,2024-25,34,CHI,22,22,0,2.5,128,116,2,0.5,0.173,4.2,-0.3,3.9,1,22.6,6.6,26.4,16.6,15.9,1,2.3,10.6,22.6,C,vucevni01
137,Franz Wagner,22,0,2024-25,23,ORL,22,22,0,2.9,116,105,1.5,1.5,0.197,4.2,2.1,6.3,1.5,22.7,3.3,17.2,10,33.5,2.7,1.4,9.9,30.5,G-F,wagnefr01
138,Cason Wallace,10,0,2024-25,21,OKC,20,10,0,1.4,114,105,0.3,1,0.125,-2.3,2.5,0.3,0.3,11.1,5.2,8.9,7,10.1,2.9,2.5,5,11.4,G,wallaca01
139,P.J. Washington,15,0,2024-25,26,DAL,16,15,0,1.2,112,108,0.4,0.9,0.114,-0.2,1.4,1.1,0.4,14.7,6,22.3,14.3,9.3,2.1,3.1,12.1,16.8,F,washipj01
140,Peyton Watson,11,0,2024-25,22,DEN,18,11,0,0.8,116,116,0.5,0.3,0.082,-1.5,-0.6,-2.1,0,12.2,4.5,10.4,7.5,6.5,1.4,3.4,8.9,15.3,G-F,watsope01
141,Jaylen Wells,16,0,2024-25,21,MEM,21,16,0,1.1,114,114,0.5,0.5,0.095,-0.4,-1.3,-1.7,0,11.9,3.9,9.9,7,9.7,0.7,0.9,10.6,18.6,F,wellsja01
142,Victor Wembanyama,17,0,2024-25,21,SAS,17,17,0,1.6,109,104,0.5,1.2,0.142,3.9,2.8,6.7,1.2,24.9,7.2,26.4,17.2,20.1,2,9.7,15.3,31.4,C-F,wembavi01
143,Coby White,21,0,2024-25,24,CHI,21,21,0,0.9,111,119,0.6,0.2,0.061,0.1,-1.7,-1.6,0.1,14.4,1.1,10.9,6.1,19.4,1.6,0.6,13.9,22.9,G,whiteco01
144,Derrick White,20,0,2024-25,30,BOS,20,20,0,2.8,130,113,2.1,0.8,0.198,4.3,0.4,4.6,1.1,18.9,4,11.6,7.8,20.3,1.1,2.6,9.2,20,G,whitede01
145,Andrew Wiggins,17,0,2024-25,29,GSW,17,17,0,1.7,123,112,1.1,0.6,0.168,3.1,-0.2,2.9,0.6,18.1,5.9,9.4,7.6,12.2,1.3,2.5,5.9,22.7,F-G,wiggian01
146,Jalen Williams,20,0,2024-25,23,OKC,20,20,0,2.7,116,101,1.2,1.5,0.206,4.1,3.1,7.2,1.5,22.7,2.9,17.3,10.1,26.3,3.1,3,11.1,27.1,G,willija06
147,Patrick Williams,15,0,2024-25,23,CHI,15,15,0,0,98,118,-0.2,0.2,-0.003,-2.5,-0.9,-3.4,-0.2,9.2,4,14.3,9.2,10.3,1.6,1.6,16.8,16.7,F,willipa01
148,Trae Young,21,0,2024-25,26,ATL,21,21,0,1.3,112,118,0.9,0.3,0.081,1.9,-2.8,-0.9,0.2,16.9,2,9.6,5.7,47.9,1.7,0.4,20,27,G,youngtr01
149,Ivica Zubac,22,0,2024-25,27,LAC,22,22,0,2.3,118,108,1.1,1.2,0.157,0.8,0.2,1,0.5,19.3,13.7,28.4,21,12.1,0.9,3.1,14.8,19.4,C,zubaciv01
150,Precious Achiuwa,18,0,2023-24,24,NYKTOR,74,18,0,3.4,114,112,1.2,2.2,0.102,-1.7,0.3,-1.4,0.2,14.6,13,20.5,16.7,8.4,1.4,3.9,13.8,15.9,F,achiupr01
151,Bam Adebayo,71,1,2023-24,26,MIA,71,71,1,7.2,115,109,2.9,4.3,0.144,0.8,1.7,2.4,2.7,19.8,7.4,27.3,17.3,18.9,1.7,2.7,12,24.9,C-F,adebaba01
152,Ochai Agbaji,28,0,2023-24,23,TORUTA,78,28,0,0.1,102,121,-0.5,0.6,0.002,-3.5,-0.9,-4.4,-1,7.7,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,G,agbajoc01
153,Santi Aldama,35,0,2023-24,23,MEM,61,35,0,2.4,109,114,0.4,2,0.07,-0.7,0.4,-0.2,0.7,13.1,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,F,aldamsa01
154,Nickeil Alexander-Walker,20,0,2023-24,25,MIN,82,20,0,4.3,115,111,1.5,2.8,0.107,-1.1,1.3,0.2,1.1,10.9,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,G,alexani01
155,Grayson Allen,74,0,2023-24,28,PHO,75,74,0,6.9,130,117,4.7,2.2,0.132,1.1,0.1,1.3,2,13.8,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,G,allengr01
156,Jarrett Allen,77,0,2023-24,25,CLE,77,77,0,10.7,131,110,6.8,3.9,0.21,2.1,0.9,3,3.1,21.8,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,C-F,allenja01
157,Kyle Anderson,10,0,2023-24,30,MIN,79,10,0,4.5,114,109,1.4,3.1,0.121,-1.6,2.7,1.1,1.4,12.7,4,13,8.7,25,2,2.3,15.6,14.5,F-G,anderky01
158,Giannis Antetokounmpo,73,1,2023-24,29,MIL,73,73,1,13.2,126,112,9.5,3.7,0.246,6.7,2.4,9,7.2,29.9,8.6,27,17.9,32.7,1.6,2.6,12.7,33,F-G,antetgi01
159,OG Anunoby,50,0,2023-24,26,NYKTOR,50,50,0,2.6,113,117,1.1,1.5,0.073,-1,0.5,-0.6,0.6,12.8,3,10.6,6.8,9,2,1.9,11.6,17.6,F,anunoog01
160,Deni Avdija,75,0,2023-24,23,WAS,75,75,0,3.2,112,119,1.7,1.5,0.068,-0.7,-0.2,-0.9,0.6,14.9,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,G-F,avdijde01
161,Deandre Ayton,55,0,2023-24,25,POR,55,55,0,3.9,115,114,1.8,2.1,0.106,0.5,-0.2,0.3,1,18.9,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,C,aytonde01
162,Marvin Bagley III,25,0,2023-24,24,DETWAS,50,25,0,2.7,122,119,2,0.7,0.122,1,-1.4,-0.4,0.4,19.4,13.1,19.2,16.1,8.1,0.9,2.6,11.3,21,F-C,baglema01
163,LaMelo Ball,22,0,2023-24,22,CHO,22,22,0,1.1,110,118,0.6,0.5,0.074,3.8,-0.5,3.3,1,20.8,4.4,13.7,8.9,43.1,2.8,0.5,15,34.3,G,ballla01
164,Mo Bamba,17,0,2023-24,25,PHI,57,17,0,2,116,109,0.6,1.3,0.128,-2.3,1.4,-1,0.2,15.4,11.3,24.5,17.8,7.6,1.5,7.4,15.1,15.1,C,bambamo01
165,Paolo Banchero,80,1,2023-24,21,ORL,80,80,1,5.3,109,112,1.3,4,0.09,1.3,0,1.3,2.3,17.3,3.4,20,11.6,25.2,1.3,1.6,13,29.7,F,banchpa01
166,Desmond Bane,42,0,2023-24,25,MEM,42,42,0,3.1,114,116,1.8,1.3,0.102,3.1,-0.3,2.8,1.7,18.5,2.6,11.8,7,29.2,1.5,1.4,11.7,28.5,G,banede01
167,Harrison Barnes,82,0,2023-24,31,SAC,82,82,0,4.7,122,119,3.1,1.5,0.094,-0.6,-1.2,-1.8,0.1,11.9,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,F,barneha02
168,Scottie Barnes,60,1,2023-24,22,TOR,60,60,1,4.3,114,116,2.3,2,0.098,2.9,0.8,3.7,3,19.5,7.3,18.9,13,26.2,1.7,3.7,13.6,24.8,G-F,barnesc01
169,RJ Barrett,58,0,2023-24,23,NYKTOR,58,58,0,2.9,112,119,1.6,1.2,0.075,0.7,-1.5,-0.8,0.6,16.4,3.1,16,9.5,16.7,0.8,1.1,11.1,26.5,G-F,barrerj01
170,Nicolas Batum,38,0,2023-24,35,LACPHI,60,38,0,3.3,126,115,1.7,1.6,0.103,-1.3,0.8,-0.4,0.6,10.2,5,13.1,9,10.7,1.5,2.3,13.1,8.6,F-G,batumni01
171,Bradley Beal,53,0,2023-24,30,PHO,53,53,0,3.9,117,117,2.4,1.5,0.107,0.9,-0.6,0.4,1.1,16.3,3.6,10.8,7.4,22.5,1.4,1.3,14.2,22.7,G,bealbr01
172,Malik Beasley,77,0,2023-24,27,MIL,79,77,0,3.5,117,118,1.9,1.6,0.073,-1,-0.8,-1.8,0.1,10.3,2,11.4,6.8,6.1,1.2,0.3,6.8,14.6,G,beaslma01
173,Patrick Beverley,13,0,2023-24,35,MILPHI,73,13,0,2.7,116,115,1.2,1.5,0.09,-1.5,0.5,-1.1,0.3,11.6,3.7,14.3,9,19,1.4,1.9,13.4,14.3,G,beverpa01
174,Saddiq Bey,51,0,2023-24,24,ATL,63,51,0,3.5,120,121,2.8,0.7,0.081,0.1,-2,-1.8,0.1,13.1,8.5,13.4,10.9,6,1.2,0.5,6.4,17,F,beysa01
175,Goga Bitadze,33,0,2023-24,24,ORL,62,33,0,3.7,128,107,1.8,1.9,0.186,-0.7,2.8,2.1,1,17.8,13.3,21.9,17.5,11.7,1.7,7,15.1,13.3,C,bitadgo01
176,Bismack Biyombo,27,0,2023-24,31,MEMOKC,40,27,0,1.1,108,114,0.1,1,0.066,-4.8,1.4,-3.4,-0.3,9.9,8.3,21.1,14.5,9.5,0.7,4.4,21.3,10.7,C-F,biyombi01
177,Anthony Black,33,0,2023-24,20,ORL,69,33,0,1.6,108,113,0.1,1.5,0.067,-3.8,0.8,-3,-0.3,8.4,3.3,10.8,7,10.6,1.5,1.7,16.6,12.7,G,blackan01
178,Bogdan Bogdanović,33,0,2023-24,31,ATL,79,33,0,3.9,116,120,2.8,1.2,0.079,0.9,-0.7,0.2,1.4,14.7,2.3,10.3,6.2,14.9,1.9,1,8.7,22.3,G,bogdabo01
179,Bojan Bogdanović,27,0,2023-24,34,DETNYK,57,27,0,1.1,108,120,0.3,0.7,0.034,-0.7,-2.5,-3.2,-0.4,12.6,1.6,10,5.7,10.3,1,0.3,11.9,24.6,G-F,bogdabo02
180,Devin Booker,68,1,2023-24,27,PHO,68,68,1,9.2,124,117,7.2,2,0.181,4,-1,3,3.1,21.9,2.7,11.1,7.1,31.2,1.2,1,10.6,29.8,G,bookede01
181,Malaki Branham,29,0,2023-24,20,SAS,75,29,0,-0.3,101,121,-0.9,0.6,-0.008,-3.4,-2.2,-5.6,-1.5,8.7,1.9,8.2,5,14,0.8,0.4,12.2,19.8,G,branhma01
182,Mikal Bridges,82,0,2023-24,27,BRK,82,82,0,4.2,112,118,2.1,2.1,0.07,0.7,-1,-0.4,1.2,14.9,2.5,12,7.1,16.3,1.4,0.9,10.3,24.3,F-G,bridgmi01
183,Miles Bridges,67,0,2023-24,25,CHO,69,67,0,2.2,108,120,0.7,1.4,0.04,0.2,-1.3,-1.1,0.6,15.4,3,19.5,11,14.6,1.2,1.2,9.6,24.7,G-F,bridgmi02
184,Malcolm Brogdon,25,0,2023-24,31,POR,39,25,0,2.6,120,120,2,0.6,0.111,2.7,-0.7,2,1.1,17,2.6,12.8,7.4,30.9,1.2,0.6,9.9,23,G,brogdma01
185,Dillon Brooks,72,0,2023-24,28,HOU,72,72,0,2.7,109,116,0.6,2.1,0.058,-3.3,-0.3,-3.6,-0.9,9.4,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,F-G,brookdi01
186,Bruce Brown,44,0,2023-24,27,INDTOR,67,44,0,2.2,113,120,1.2,1,0.058,-2.4,-1,-3.3,-0.6,11.6,3.1,14,8.5,13.2,1.5,0.8,11.8,16.5,G-F,brownbr01
187,Jaylen Brown,70,1,2023-24,27,BOS,70,70,1,5.9,113,112,2.7,3.2,0.121,0.9,-0.1,0.7,1.6,18.6,4,13.4,8.9,16.6,1.8,1.4,10.7,28.9,F-G,brownja02
188,Troy Brown Jr.,15,0,2023-24,24,DETMIN,59,15,0,0.8,105,115,0,0.9,0.048,-2.8,0.2,-2.6,-0.1,8.8,3.5,16,9.8,9.7,1.4,0.3,11,14.3,G-F,browntr01
189,Jalen Brunson,77,1,2023-24,27,NYK,77,77,1,11.2,124,117,8.8,2.4,0.198,6.3,-0.4,5.8,5.4,23.4,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,G,brunsja01
190,Jimmy Butler,60,0,2023-24,34,MIA,60,60,0,9.1,129,113,6.4,2.7,0.214,3.9,0.7,4.6,3.4,22,5.8,11.9,8.8,23.1,1.9,0.8,9.3,24,F-G,butleji01
191,Kentavious Caldwell-Pope,76,0,2023-24,30,DEN,76,76,0,4.8,119,115,2.2,2.6,0.096,-2.1,0.7,-1.4,0.4,10.7,1.5,6.8,4.2,9.5,2,1.5,10.5,12.9,G,caldwke01
192,Toumani Camara,49,0,2023-24,23,POR,70,49,0,2,110,117,0.6,1.4,0.055,-3.1,0,-3.1,-0.5,10.6,8.4,14,11,7.2,1.9,1.7,14.9,13.8,F,camarto01
193,Clint Capela,73,0,2023-24,29,ATL,73,73,0,6.3,128,115,4.4,1.9,0.161,1,-1,0.1,1,20.7,18.7,26.5,22.4,6.9,1.1,5.1,9.5,17.3,C,capelca01
194,Wendell Carter Jr.,48,0,2023-24,24,ORL,55,48,0,4.4,122,111,2.2,2.1,0.149,0.5,0.4,0.9,1,15.9,9.3,22.7,15.9,9.9,1.2,1.9,12.3,17.2,C,cartewe01
195,Alex Caruso,57,0,2023-24,29,CHI,71,57,0,4.9,119,113,2.3,2.6,0.115,0.2,2.3,2.5,2.3,14.5,3.3,11.8,7.5,16.4,2.9,3.5,14.9,14.7,G,carusal01
196,Julian Champagnie,59,0,2023-24,22,SAS,74,59,0,1.8,111,117,0.6,1.3,0.059,-1.8,-0.1,-1.9,0,10.6,3.1,12.2,7.6,9.3,1.6,2.4,11.4,14.4,F,champju02
197,Jordan Clarkson,19,0,2023-24,31,UTA,55,19,0,0.2,107,124,0.1,0.1,0.006,-1.3,-3.2,-4.5,-1.1,12.7,3.2,9,6.2,24.6,1,0.3,13.9,26.1,G,clarkjo01
198,Nic Claxton,71,0,2023-24,24,BRK,71,71,0,6.7,124,111,3.5,3.2,0.152,-0.3,1.5,1.2,1.7,18.7,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,C,claxtni01
199,Amir Coffey,13,0,2023-24,26,LAC,70,13,0,2.6,122,118,1.6,1,0.084,-1.9,-0.3,-2.2,-0.1,10,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,G,coffeam01
200,John Collins,66,0,2023-24,26,UTA,68,66,0,4.4,121,118,3.1,1.3,0.11,0.5,-1.4,-0.9,0.5,17.5,9.2,24,16.7,6.1,1,2.9,10.6,20.4,F,collijo01
201,Zach Collins,29,0,2023-24,26,SAS,69,29,0,1.8,108,116,0.4,1.5,0.057,-2,-0.1,-2,0,14.3,8.3,18,13.1,18.9,1.1,2.8,16.1,22.7,C-F,colliza01
202,Mike Conley,76,0,2023-24,36,MIN,76,76,0,8.2,129,111,5,3.3,0.18,2,1.4,3.4,3,15.8,2,9,5.6,28.4,2,0.7,12.8,16,G,conlemi01
203,Bilal Coulibaly,15,0,2023-24,19,WAS,63,15,0,0.4,103,120,-0.5,0.9,0.013,-3.6,-0.5,-4.2,-0.9,8.9,3.4,12.8,8,8.2,1.6,2.3,15.1,14.2,F,coulibi01
204,Torrey Craig,14,0,2023-24,33,CHI,53,14,0,1.9,119,117,1,0.9,0.087,-1.8,-0.2,-2,0,10.8,7.2,16.1,11.6,7.3,1.4,2.1,10.7,12.5,G-F,craigto01
205,Jae Crowder,25,0,2023-24,33,MIL,50,25,0,1.6,114,117,0.6,1,0.065,-2.6,0,-2.6,-0.2,8.9,3,12.1,7.6,7.2,1.6,0.7,7.4,11.5,F,crowdja01
206,Cade Cunningham,62,0,2023-24,22,DET,62,62,0,1.8,108,120,0.7,1,0.041,2,-1.6,0.3,1.2,17.1,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,G,cunnica01
207,Stephen Curry,74,1,2023-24,35,GSW,74,74,1,7.2,119,117,5.2,2,0.142,6.3,-1.1,5.2,4.4,20.6,1.7,12.9,7.4,24.7,1.1,1,11.7,31.3,G,curryst01
208,Dyson Daniels,16,0,2023-24,20,NOP,61,16,0,2.9,113,110,0.7,2.2,0.103,-1.9,2.5,0.6,0.9,12,5.1,14.1,9.7,15.4,3.1,1.8,15,12.6,G,daniedy01
209,Anthony Davis,76,1,2023-24,30,LAL,76,76,1,11.8,124,109,7.2,4.7,0.21,3.5,1.7,5.1,4.9,25.8,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,F-C,davisan02
210,DeMar DeRozan,79,0,2023-24,34,CHI,79,79,0,9.2,122,118,7,2.2,0.147,2.1,-0.3,1.8,2.8,19.7,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,G-F,derozde01
211,Gradey Dick,17,0,2023-24,20,TOR,60,17,0,0.3,105,122,-0.1,0.4,0.01,-3.2,-2.2,-5.4,-1.1,8.9,2.3,9.3,5.7,7.4,1.3,0.1,9.7,17.4,G,dickgr01
212,Spencer Dinwiddie,52,0,2023-24,30,BRKLAL,76,52,0,3.6,117,119,2.3,1.3,0.081,-1.3,-0.6,-1.9,0.1,11.7,1.5,9,5.2,22.7,1.2,0.9,11.1,16.6,G,dinwisp01
213,Donte DiVincenzo,63,0,2023-24,27,NYK,81,63,0,6.6,120,113,3.6,3,0.135,2.5,0.9,3.4,3.2,16,3,11.2,7.1,13.7,2.3,1.4,9.7,21.3,G,divindo01
214,Luka Dončić,70,1,2023-24,24,DAL,70,70,1,12,122,113,8.5,3.5,0.22,8.3,1.7,9.9,8,28.1,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36,G-F,doncilu01
215,Luguentz Dort,79,0,2023-24,24,OKC,79,79,0,4.6,117,114,2,2.5,0.097,-1.4,-0.2,-1.6,0.2,11.1,3.8,10,7,6.3,1.5,1.9,9.3,15.4,G,dortlu01
216,Ayo Dosunmu,37,0,2023-24,24,CHI,76,37,0,4.1,118,119,2.6,1.5,0.089,-0.6,-0.2,-0.8,0.7,13.4,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,G,dosunay01
217,Andre Drummond,10,0,2023-24,30,CHI,79,10,0,4.9,119,107,2.3,2.6,0.175,0.8,-0.7,0.1,0.7,23,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,C,drumman01
218,Chris Duarte,11,0,2023-24,26,SAC,59,11,0,0.7,106,116,0,0.7,0.047,-3.5,0.1,-3.4,-0.2,8.4,4,12.7,8.3,7.8,1.9,1,10.4,14.9,G,duartch01
219,Kris Dunn,32,0,2023-24,29,UTA,66,32,0,2,116,118,1.1,0.9,0.076,-1.5,1.4,-0.1,0.6,12.8,4.4,12.2,8.3,27.1,2.6,2,19.5,13.6,G,dunnkr01
220,Kevin Durant,75,1,2023-24,35,PHO,75,75,1,8.3,118,114,5.1,3.2,0.142,4,0.1,4,4.3,21.2,1.7,17.5,10,22.2,1.2,2.9,13.1,29,F-G,duranke01
221,Jalen Duren,60,0,2023-24,20,DET,61,60,0,4.8,122,115,3,1.8,0.13,-0.2,0.1,-0.1,0.9,18.7,11.8,33,22.2,12.7,0.9,2.3,16.7,18.5,C,durenja01
222,Anthony Edwards,78,1,2023-24,22,MIN,79,78,1,7.5,112,110,2.9,4.7,0.13,2.7,0.5,3.3,3.7,19.7,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,G-F,edwaran01
223,Keon Ellis,21,0,2023-24,24,SAC,57,21,0,2.3,122,113,1.1,1.2,0.114,-0.9,2.1,1.2,0.8,12,3.6,10.8,7.1,11.1,2.5,2.7,13,12.4,G,elliske01
224,Joel Embiid,39,1,2023-24,29,PHI,39,39,1,7.5,124,109,5.2,2.3,0.275,8.5,3.1,11.6,4.5,34.1,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,C,embiijo01
225,Dante Exum,17,0,2023-24,28,DAL,55,17,0,2.9,128,118,2.1,0.8,0.127,-0.3,-0.3,-0.6,0.4,13.7,2.5,12.4,7.5,19.3,1,0.4,12.9,15,G,exumda01
226,Dorian Finney-Smith,56,0,2023-24,30,BRK,68,56,0,2.6,113,117,1,1.6,0.065,-2,-0.1,-2,0,10.1,6,12.1,9,7.6,1.4,1.8,10,13.2,F,finnedo01
227,Simone Fontecchio,43,0,2023-24,28,DETUTA,66,43,0,2.1,117,121,1.5,0.6,0.061,0,-1,-1,0.4,12.1,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,F,fontesi01
228,De'Aaron Fox,74,0,2023-24,26,SAC,74,74,0,6.5,113,114,3.3,3.2,0.117,2.6,0.1,2.7,3.2,20.1,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,G,foxde01
229,Markelle Fultz,18,0,2023-24,25,ORL,43,18,0,1.3,106,112,0,1.3,0.069,-2.6,1.2,-1.4,0.1,12.6,7.2,10.7,8.9,19.7,2.3,1.5,12.8,18.8,G,fultzma01
230,Daniel Gafford,66,0,2023-24,25,DALWAS,74,66,0,7.8,140,112,5.2,2.5,0.205,0.7,1.9,2.6,2.1,21.7,11.4,22.1,16.7,9.1,1.7,7.1,11.7,14.7,C-F,gaffoda01
231,Darius Garland,57,0,2023-24,24,CLE,57,57,0,2.7,108,115,0.7,2,0.067,0.2,-1.2,-1,0.5,14.5,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,G,garlada01
232,Keyonte George,44,0,2023-24,20,UTA,75,44,0,-0.3,104,124,-0.4,0.1,-0.008,-1.5,-2.9,-4.4,-1.2,10.4,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,G,georgke01
233,Paul George,74,1,2023-24,33,LAC,74,74,1,7.3,119,114,4.4,2.8,0.14,2.9,0.2,3.2,3.3,19.3,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,F-G,georgpa01
234,Josh Giddey,80,0,2023-24,21,OKC,80,80,0,4.3,111,112,1.4,2.9,0.102,1,0.4,1.5,1.8,16.6,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,G,giddejo01
235,Shai Gilgeous-Alexander,75,1,2023-24,25,OKC,75,75,1,14.6,129,110,10.5,4.2,0.275,6.7,2.3,9,7.1,29.3,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,G,gilgesh01
236,Jacob Gilyard,14,0,2023-24,25,BRKMEM,41,14,0,1.4,122,117,0.8,0.6,0.095,-2,0.6,-1.4,0.1,11.1,1.4,6,3.6,27.7,2.3,0.7,16.6,11.1,G,gilyaja01
237,Rudy Gobert,76,0,2023-24,31,MIN,76,76,0,11.6,131,104,5.8,5.8,0.216,0.1,1.7,1.8,2.5,19.3,13.1,29.2,21.5,5.6,1,5.5,13.1,15.4,C,goberru01
238,Jordan Goodwin,12,0,2023-24,25,MEMPHO,57,12,0,1.2,105,113,-0.2,1.4,0.054,-1.5,0.5,-1,0.3,12.6,9.3,17.3,13.3,20.9,2.2,1.6,12.1,19,G,goodwjo01
239,Aaron Gordon,73,0,2023-24,28,DEN,73,73,0,7.1,125,114,4.5,2.6,0.148,1.2,0.1,1.3,1.9,16.8,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,F,gordoaa01
240,Eric Gordon,24,0,2023-24,35,PHO,68,24,0,2.5,112,117,1,1.5,0.063,-1.3,-0.5,-1.7,0.1,10.8,1,6,3.6,10,1.7,1.4,10.2,16.5,G-F,gordoer01
241,Jerami Grant,54,0,2023-24,29,POR,54,54,0,2.7,113,120,1.7,1,0.071,1,-1.1,-0.1,0.9,15.4,2.1,10,5.8,13.8,1.2,1.7,10.5,25.7,F,grantje01
242,Draymond Green,52,0,2023-24,33,GSW,55,52,0,3.6,116,112,1.4,2.2,0.116,-0.6,3,2.4,1.6,14.5,5.6,23,14.4,28.6,1.8,2.9,25,15.3,F,greendr01
243,Jalen Green,82,0,2023-24,21,HOU,82,82,0,3.1,107,115,0.2,2.9,0.056,0.4,-0.9,-0.5,1,14.7,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,G,greenja05
244,Josh Green,33,0,2023-24,23,DAL,57,33,0,2.2,115,117,1,1.2,0.071,-2.4,-0.3,-2.7,-0.3,9.9,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,G-F,greenjo02
245,Quentin Grimes,18,0,2023-24,23,DETNYK,51,18,0,1.3,109,116,0.3,1,0.06,-2.6,0.4,-2.2,-0.1,8.9,1.6,9.3,5.5,8.7,1.7,0.6,7.5,15.8,G,grimequ01
246,Rui Hachimura,39,0,2023-24,25,LAL,68,39,0,4.1,121,117,2.7,1.5,0.108,0,-0.9,-0.9,0.5,15,3.7,13.7,8.9,6.3,1.1,1.2,5.9,18.5,F,hachiru01
247,Tyrese Haliburton,68,1,2023-24,23,IND,69,68,1,9,129,119,7.6,1.5,0.195,7.3,-0.4,6.9,5,23.3,1.8,12,6.9,44.9,1.8,1.7,12.2,24.6,G,halibty01
