Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
19,Mikal Bridges,20,0,2024-25,28,NYK,20,20,0,0.9,110,118,0.5,0.4,0.054,-0.6,-1.6,-2.2,0,12.4,3.3,8,5.7,11.3,1.3,1.4,9.2,19,F-G,bridgmi01
20,Miles Bridges,11,0,2024-25,26,CHO,11,11,0,0.8,115,114,0.4,0.3,0.109,1.2,-0.8,0.5,0.2,15.9,2.5,21.9,11.8,16.4,1,1.5,8.5,22.4,G-F,bridgmi02
21,Dillon Brooks,21,0,2024-25,29,HOU,21,21,0,1.5,114,110,0.6,0.9,0.109,-1.8,0.1,-1.7,0.1,10,4.2,7.9,6,7,0.9,0.7,6.8,16.8,F-G,brookdi01
22,Jaylen Brown,16,0,2024-25,28,BOS,16,16,0,1.5,113,112,0.8,0.7,0.125,0.8,-1.3,-0.5,0.2,18.5,4.8,14.9,9.8,19.3,1.4,0.9,9.7,30.4,F-G,brownja02
23,Jalen Brunson,20,0,2024-25,28,NYK,20,20,0,2.9,127,120,2.7,0.2,0.202,5.1,-2.2,2.9,0.9,22.8,1.6,8.1,5,34.5,0.9,0.1,10,29.4,G,brunsja01
24,Jimmy Butler,14,0,2024-25,35,MIA,14,14,0,2.2,135,114,1.8,0.4,0.238,4.3,0.6,4.8,0.8,23.4,7.9,9.6,8.7,24.5,1.9,0.9,8.9,22.1,F-G,butleji01
25,Kentavious Caldwell-Pope,21,0,2024-25,31,ORL,21,21,0,1.5,115,107,0.5,1.1,0.118,-2.9,2.3,-0.7,0.2,10.1,1.6,6.8,4.1,9,2.4,2,7.9,12.2,G,caldwke01
26,Toumani Camara,21,0,2024-25,24,POR,21,21,0,0.7,109,116,0.2,0.5,0.055,-1.8,0.2,-1.6,0.1,10.6,7.7,10.5,9.1,10.5,2.4,1.2,15.9,13.9,F,camarto01
27,Clint Capela,22,0,2024-25,30,ATL,22,22,0,1.7,127,112,1.1,0.6,0.166,1,-0.8,0.2,0.3,20.4,16.2,26.7,21.4,8.8,1.4,4,8.5,17.1,C,capelca01
28,Carlton Carrington,12,0,2024-25,19,WAS,18,12,0,0,101,120,-0.2,0.1,-0.004,-4,-0.7,-4.7,-0.3,9.5,0.9,14.2,7.5,22.1,2,1.1,18.2,15.6,G,carrica01
29,Stephon Castle,13,0,2024-25,20,SAS,20,13,0,0.2,102,117,-0.2,0.4,0.018,-3,-1.4,-4.4,-0.3,10.3,3.4,7,5.3,20.4,1.4,1.5,13.1,21.6,G,castlst01
