Player,GS,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Bam Adebayo,19,0,2024-25,27,MIA,19,19,0,670,112,267,94,213,18,54,55,76,52,135,187,93,32,15,35,39,297,0.419,0.441,0.333,0.724,0.494,0.453,C-F,adebaba01
Ochai Agbaji,19,0,2024-25,24,TOR,21,19,0,662,99,186,59,101,40,85,14,20,21,74,95,44,22,13,20,53,252,0.532,0.584,0.471,0.7,0.647,0.64,G,agbajoc01
Santi Aldama,11,0,2024-25,24,MEM,21,11,0,577,112,223,81,131,31,92,18,23,36,120,156,72,17,9,30,25,273,0.502,0.618,0.337,0.783,0.586,0.572,F,aldamsa01
Jarrett Allen,21,0,2024-25,26,CLE,21,21,0,623,121,173,121,173,0,0,56,76,49,175,224,34,19,21,21,26,298,0.699,0.699,,0.737,0.722,0.699,C-F,allenja01
Giannis Antetokounmpo,17,0,2024-25,30,MIL,17,17,0,598,224,368,221,354,3,14,109,178,36,167,203,113,9,24,56,46,560,0.609,0.624,0.214,0.612,0.627,0.613,F-G,antetgi01
OG Anunoby,20,0,2024-25,27,NYK,20,20,0,729,129,267,86,150,43,117,46,55,23,81,104,40,28,18,26,51,347,0.483,0.573,0.368,0.836,0.596,0.564,F,anunoog01
Deni Avdija,12,0,2024-25,24,POR,21,12,0,568,80,197,54,116,26,81,63,79,26,102,128,67,23,18,44,43,249,0.406,0.466,0.321,0.797,0.537,0.472,G-F,avdijde01
Deandre Ayton,14,0,2024-25,26,POR,14,14,0,428,94,171,89,155,5,16,13,19,41,103,144,18,13,9,26,30,206,0.55,0.574,0.313,0.684,0.574,0.564,C,aytonde01
LaMelo Ball,18,0,2024-25,23,CHO,18,18,0,614,193,449,109,213,84,236,89,105,17,80,97,125,20,4,81,73,559,0.43,0.512,0.356,0.848,0.564,0.523,G,ballla01
Desmond Bane,13,0,2024-25,26,MEM,14,13,0,384,73,176,48,94,25,82,24,31,11,78,89,55,12,7,31,37,195,0.415,0.511,0.305,0.774,0.514,0.486,G,banede01
Harrison Barnes,20,0,2024-25,32,SAS,20,20,0,583,76,148,46,83,30,65,49,61,37,60,97,33,6,4,16,15,231,0.514,0.554,0.462,0.803,0.661,0.615,F,barneha02
Scottie Barnes,10,0,2024-25,23,TOR,10,10,0,337,75,169,60,114,15,55,42,59,24,63,87,70,14,6,34,20,207,0.444,0.526,0.273,0.712,0.531,0.488,G-F,barnesc01
RJ Barrett,18,0,2024-25,24,TOR,18,18,0,621,156,341,119,237,37,104,77,111,17,97,114,112,15,5,61,45,426,0.457,0.502,0.356,0.694,0.546,0.512,G-F,barrerj01
Bradley Beal,11,0,2024-25,31,PHO,11,11,0,367,76,151,49,83,27,68,21,26,6,35,41,35,13,9,17,29,200,0.503,0.59,0.397,0.808,0.616,0.593,G,bealbr01
Goga Bitadze,15,0,2024-25,25,ORL,18,15,0,400,62,92,62,85,0,7,24,31,46,81,127,32,15,30,25,46,148,0.674,0.729,0,0.774,0.7,0.674,C,bitadgo01
Devin Booker,19,0,2024-25,28,PHO,19,19,0,699,152,343,102,198,50,145,116,130,23,44,67,126,19,8,40,41,470,0.443,0.515,0.345,0.892,0.587,0.516,G,bookede01
Brandon Boston Jr.,10,0,2024-25,23,NOP,19,10,0,541,83,198,59,121,24,77,38,44,15,59,74,70,30,4,31,34,228,0.419,0.488,0.312,0.864,0.524,0.48,G-F,bostobr01
Christian Braun,18,0,2024-25,23,DEN,18,18,0,629,106,181,83,133,23,48,51,65,22,69,91,35,22,12,24,40,286,0.586,0.624,0.479,0.785,0.682,0.649,G,braunch01
Mikal Bridges,20,0,2024-25,28,NYK,20,20,0,759,136,292,91,156,45,136,8,13,21,54,75,63,20,11,30,26,325,0.466,0.583,0.331,0.615,0.546,0.543,F-G,bridgmi01
Miles Bridges,11,0,2024-25,26,CHO,11,11,0,331,62,146,38,77,24,69,28,33,8,64,72,33,7,5,15,15,176,0.425,0.494,0.348,0.848,0.548,0.507,G-F,bridgmi02
Dillon Brooks,21,0,2024-25,29,HOU,21,21,0,648,97,234,54,121,43,113,27,32,27,49,76,32,12,5,18,66,264,0.415,0.446,0.381,0.844,0.532,0.506,F-G,brookdi01
Jaylen Brown,16,0,2024-25,28,BOS,16,16,0,578,135,315,92,189,43,126,87,112,25,77,102,69,17,6,39,45,400,0.429,0.487,0.341,0.777,0.549,0.497,F-G,brownja02
Jalen Brunson,20,0,2024-25,28,NYK,20,20,0,690,174,358,123,234,51,124,109,129,9,50,59,157,13,1,46,49,508,0.486,0.526,0.411,0.845,0.612,0.557,G,brunsja01
Jimmy Butler,14,0,2024-25,35,MIA,14,14,0,446,84,156,77,135,7,21,89,113,33,39,72,67,17,4,20,18,264,0.538,0.57,0.333,0.788,0.642,0.561,F-G,butleji01
Kentavious Caldwell-Pope,21,0,2024-25,31,ORL,21,21,0,630,62,151,31,51,31,100,26,27,9,36,45,40,31,13,14,41,181,0.411,0.608,0.31,0.963,0.556,0.513,G,caldwke01
Toumani Camara,21,0,2024-25,24,POR,21,21,0,652,73,174,38,85,35,89,17,25,49,61,110,48,32,8,35,63,198,0.42,0.447,0.393,0.68,0.535,0.52,F,camarto01
Clint Capela,22,0,2024-25,30,ATL,22,22,0,501,103,173,103,173,0,0,27,48,77,125,202,30,15,21,18,40,233,0.595,0.595,,0.563,0.6,0.595,C,capelca01
Carlton Carrington,12,0,2024-25,19,WAS,18,12,0,499,57,142,32,71,25,71,19,24,4,66,70,79,21,6,34,53,158,0.401,0.451,0.352,0.792,0.518,0.489,G,carrica01
Stephon Castle,13,0,2024-25,20,SAS,20,13,0,537,80,206,56,123,24,83,42,59,16,36,52,74,15,9,35,34,226,0.388,0.455,0.289,0.712,0.487,0.447,G,castlst01
Julian Champagnie,20,0,2024-25,23,SAS,20,20,0,589,82,188,33,52,49,136,26,29,18,87,105,33,19,13,22,28,239,0.436,0.635,0.36,0.897,0.595,0.566,F,champju02
Brandon Clarke,11,0,2024-25,28,MEM,20,11,0,356,61,105,60,89,1,16,12,19,30,63,93,16,16,7,7,39,135,0.581,0.674,0.063,0.632,0.595,0.586,F,clarkbr01
John Collins,10,0,2024-25,27,UTA,19,10,0,552,130,244,109,188,21,56,60,66,50,118,168,48,24,15,47,58,341,0.533,0.58,0.375,0.909,0.624,0.576,F,collijo01
Mike Conley,16,0,2024-25,37,MIN,16,16,0,413,40,119,9,35,31,84,25,28,8,39,47,75,26,3,23,27,136,0.336,0.257,0.369,0.893,0.518,0.466,G,conlemi01
Bilal Coulibaly,17,0,2024-25,20,WAS,17,17,0,597,79,164,62,109,17,55,40,53,26,65,91,48,22,11,32,41,215,0.482,0.569,0.309,0.755,0.574,0.534,F,coulibi01
Cade Cunningham,18,0,2024-25,23,DET,18,18,0,651,159,359,117,247,42,112,63,78,19,110,129,162,17,15,85,46,423,0.443,0.474,0.375,0.808,0.538,0.501,G,cunnica01
Stephen Curry,15,0,2024-25,36,GSW,15,15,0,448,112,240,49,95,63,145,50,53,7,75,82,95,22,8,50,19,337,0.467,0.516,0.434,0.943,0.64,0.598,G,curryst01
Dyson Daniels,20,0,2024-25,21,ATL,20,20,0,675,116,262,92,179,24,83,20,31,33,70,103,60,61,19,37,52,276,0.443,0.514,0.289,0.645,0.501,0.489,G,daniedy01
Tristan Da Silva,13,0,2024-25,23,ORL,18,13,0,436,52,129,30,62,22,67,11,14,14,53,67,32,8,3,9,26,137,0.403,0.484,0.328,0.786,0.507,0.488,F,dasiltr01
Anthony Davis,20,0,2024-25,31,LAL,20,20,0,708,199,367,184,325,15,42,143,182,51,179,230,66,25,39,39,40,556,0.542,0.566,0.357,0.786,0.622,0.563,F-C,davisan02
DeMar DeRozan,16,0,2024-25,35,SAC,16,16,0,582,138,272,128,237,10,35,81,98,9,58,67,70,25,9,28,23,367,0.507,0.54,0.286,0.827,0.582,0.526,G-F,derozde01
Gradey Dick,17,0,2024-25,21,TOR,17,17,0,560,103,247,63,130,40,117,62,68,11,41,52,38,15,5,31,38,308,0.417,0.485,0.342,0.912,0.556,0.498,G,dickgr01
Luka Dončić,15,0,2024-25,25,DAL,15,15,0,549,153,341,104,192,49,149,74,96,8,106,114,120,25,5,49,41,429,0.449,0.542,0.329,0.771,0.56,0.521,G-F,doncilu01
Luguentz Dort,20,0,2024-25,25,OKC,20,20,0,584,67,160,24,55,43,105,24,29,28,64,92,39,23,16,13,62,201,0.419,0.436,0.41,0.828,0.582,0.553,G,dortlu01
Andre Drummond,11,0,2024-25,31,PHI,17,11,0,346,55,105,54,99,1,6,26,47,49,90,139,10,22,8,29,43,137,0.524,0.545,0.167,0.553,0.545,0.529,C,drumman01
Kris Dunn,11,0,2024-25,30,LAC,22,11,0,499,60,131,38,66,22,65,5,10,17,68,85,60,33,7,24,59,147,0.458,0.576,0.338,0.5,0.543,0.542,G,dunnkr01
Kevin Durant,12,0,2024-25,36,PHO,12,12,0,447,115,216,82,140,33,76,59,73,3,80,83,38,7,19,40,22,322,0.532,0.586,0.434,0.808,0.649,0.609,F-G,duranke01
Jalen Duren,20,0,2024-25,21,DET,20,20,0,480,71,102,71,102,0,0,34,59,62,129,191,50,5,26,37,60,176,0.696,0.696,,0.576,0.688,0.696,C,durenja01
Anthony Edwards,20,0,2024-25,23,MIN,20,20,0,739,185,415,95,202,90,213,74,93,13,96,109,74,26,12,60,39,534,0.446,0.47,0.423,0.796,0.586,0.554,G-F,edwaran01
Dorian Finney-Smith,15,0,2024-25,31,BRK,15,15,0,435,57,122,22,39,35,83,11,18,27,37,64,27,14,8,16,46,160,0.467,0.564,0.422,0.611,0.616,0.611,F,finnedo01
De'Aaron Fox,21,0,2024-25,27,SAC,21,21,0,793,210,426,165,294,45,132,112,139,21,84,105,124,34,3,76,55,577,0.493,0.561,0.341,0.806,0.592,0.546,G,foxde01
Daniel Gafford,12,0,2024-25,26,DAL,20,12,0,430,108,149,108,149,0,0,38,56,58,77,135,28,11,24,18,54,254,0.725,0.725,,0.679,0.731,0.725,C-F,gaffoda01
Darius Garland,20,0,2024-25,25,CLE,20,20,0,613,149,303,88,168,61,135,56,59,11,40,51,138,22,5,47,51,415,0.492,0.524,0.452,0.949,0.631,0.592,G,garlada01
Keyonte George,19,0,2024-25,21,UTA,19,19,0,605,98,261,48,112,50,149,46,58,9,48,57,109,13,1,63,36,292,0.375,0.429,0.336,0.793,0.51,0.471,G,georgke01
Josh Giddey,22,0,2024-25,22,CHI,22,22,0,597,100,225,73,145,27,80,39,56,28,111,139,151,17,10,55,36,266,0.444,0.503,0.338,0.696,0.533,0.504,G,giddejo01
Shai Gilgeous-Alexander,20,0,2024-25,26,OKC,20,20,0,691,208,413,166,291,42,122,141,165,19,90,109,130,34,21,56,38,599,0.504,0.57,0.344,0.855,0.617,0.554,G,gilgesh01
Rudy Gobert,20,0,2024-25,32,MIN,20,20,0,686,80,122,80,122,0,0,54,69,71,153,224,37,9,30,34,59,214,0.656,0.656,,0.783,0.702,0.656,C,goberru01
Jerami Grant,19,0,2024-25,30,POR,19,19,0,619,97,253,55,135,42,118,67,82,7,59,66,45,18,19,27,43,303,0.383,0.407,0.356,0.817,0.524,0.466,F,grantje01
Draymond Green,19,0,2024-25,34,GSW,19,19,0,542,55,127,26,55,29,72,29,48,18,100,118,114,19,19,43,62,168,0.433,0.473,0.403,0.604,0.567,0.547,F,greendr01
Javonte Green,12,0,2024-25,31,NOP,22,12,0,535,50,118,33,65,17,53,30,39,23,54,77,20,25,16,12,28,147,0.424,0.508,0.321,0.769,0.544,0.496,F,greenja02
Jalen Green,21,0,2024-25,22,HOU,21,21,0,676,134,341,82,177,52,164,76,89,11,87,98,56,20,7,54,39,396,0.393,0.463,0.317,0.854,0.521,0.469,G,greenja05
Josh Green,17,0,2024-25,24,CHO,18,17,0,477,49,109,20,50,29,59,8,13,16,28,44,29,13,5,14,51,135,0.45,0.4,0.492,0.615,0.588,0.583,G-F,greenjo02
Rui Hachimura,16,0,2024-25,26,LAL,16,16,0,510,70,154,45,96,25,58,26,31,32,53,85,28,13,8,10,32,191,0.455,0.469,0.431,0.839,0.57,0.536,F,hachiru01
Tyrese Haliburton,21,0,2024-25,24,IND,21,21,0,732,122,301,61,119,61,182,53,62,17,54,71,180,27,10,39,36,358,0.405,0.513,0.335,0.855,0.545,0.507,G,halibty01
Tim Hardaway Jr.,19,0,2024-25,32,DET,19,19,0,523,60,151,23,47,37,104,30,34,3,30,33,33,5,0,12,23,187,0.397,0.489,0.356,0.882,0.563,0.52,G,hardati02
James Harden,22,0,2024-25,35,LAC,22,22,0,757,141,366,77,181,64,185,145,162,14,144,158,195,37,16,97,45,491,0.385,0.425,0.346,0.895,0.561,0.473,G,hardeja01
Tobias Harris,21,0,2024-25,32,DET,21,21,0,683,109,248,81,158,28,90,36,45,21,127,148,51,15,19,28,43,282,0.44,0.513,0.311,0.8,0.527,0.496,F,harrito02
Josh Hart,20,0,2024-25,29,NYK,20,20,0,741,108,183,82,115,26,68,35,41,35,132,167,110,27,8,36,48,277,0.59,0.713,0.382,0.854,0.689,0.661,G,hartjo01
Tyler Herro,19,0,2024-25,25,MIA,19,19,0,668,154,334,77,145,77,189,66,76,5,94,99,93,14,2,46,32,451,0.461,0.531,0.407,0.868,0.614,0.576,G,herroty01
Haywood Highsmith,11,0,2024-25,28,MIA,17,11,0,426,44,91,25,42,19,49,9,13,13,38,51,19,21,15,9,36,116,0.484,0.595,0.388,0.692,0.6,0.588,F,highsha01
Jrue Holiday,19,0,2024-25,34,BOS,19,19,0,592,80,179,48,83,32,96,30,33,20,60,80,75,15,6,31,26,222,0.447,0.578,0.333,0.909,0.574,0.536,G,holidjr01
Chet Holmgren,10,0,2024-25,22,OKC,10,10,0,265,56,111,42,74,14,37,38,49,16,71,87,20,8,26,23,18,164,0.505,0.568,0.378,0.776,0.619,0.568,F-C,holmgch01
Al Horford,15,0,2024-25,38,BOS,16,15,0,445,55,119,20,33,35,86,6,6,16,66,82,37,13,14,14,24,151,0.462,0.606,0.407,1,0.621,0.609,C-F,horfoal01
Kevin Huerter,15,0,2024-25,26,SAC,18,15,0,465,62,152,34,51,28,101,8,13,5,56,61,37,19,10,19,42,160,0.408,0.667,0.277,0.615,0.507,0.5,G,huertke01
Brandon Ingram,16,0,2024-25,27,NOP,16,16,0,539,144,310,105,203,39,107,39,47,16,76,92,87,13,10,62,41,366,0.465,0.517,0.364,0.83,0.553,0.527,F,ingrabr01
Kyrie Irving,19,0,2024-25,32,DAL,19,19,0,673,176,349,115,218,61,131,58,66,22,70,92,106,23,4,39,43,471,0.504,0.528,0.466,0.879,0.623,0.592,G,irvinky01
Jaden Ivey,21,0,2024-25,22,DET,21,21,0,649,138,305,97,198,41,107,70,96,29,62,91,91,20,9,64,55,387,0.452,0.49,0.383,0.729,0.557,0.52,G,iveyja01
Andre Jackson Jr.,10,0,2024-25,23,MIL,18,10,0,334,23,60,13,31,10,29,4,8,15,48,63,26,13,6,27,45,60,0.383,0.419,0.345,0.5,0.472,0.467,G,jacksan01
Jaren Jackson Jr.,19,0,2024-25,25,MEM,19,19,0,539,152,293,118,193,34,100,87,106,28,84,112,23,26,35,41,59,425,0.519,0.611,0.34,0.821,0.626,0.577,F,jacksja02
Trayce Jackson-Davis,18,0,2024-25,24,GSW,19,18,0,319,68,113,68,112,0,1,15,26,31,66,97,39,5,13,16,24,151,0.602,0.607,0,0.577,0.607,0.602,F,jackstr02
LeBron James,21,0,2024-25,40,LAL,21,21,0,734,175,363,135,247,40,116,71,95,20,149,169,191,13,10,85,23,461,0.482,0.547,0.345,0.747,0.569,0.537,F-G,jamesle01
Cameron Johnson,21,0,2024-25,28,BRK,21,21,0,682,128,261,63,107,65,154,59,65,16,72,88,63,17,9,17,41,380,0.49,0.589,0.422,0.908,0.656,0.615,F,johnsca02
Jalen Johnson,21,0,2024-25,23,ATL,21,21,0,761,167,329,131,231,36,98,50,67,35,170,205,115,28,24,68,42,420,0.508,0.567,0.367,0.746,0.586,0.562,F,johnsja05
Nikola Jokić,15,0,2024-25,29,DEN,15,15,0,562,167,297,134,232,33,65,77,94,62,136,198,160,22,13,56,28,444,0.562,0.578,0.508,0.819,0.656,0.618,C-F,jokicni01
Derrick Jones Jr.,22,0,2024-25,27,LAC,22,22,0,560,85,171,59,109,26,62,24,28,29,49,78,20,29,4,25,50,220,0.497,0.541,0.419,0.857,0.6,0.573,F,jonesde02
Tyus Jones,19,0,2024-25,28,PHO,19,19,0,617,85,181,46,82,39,99,9,12,13,39,52,137,21,2,21,19,218,0.47,0.561,0.394,0.75,0.585,0.577,G,jonesty01
Walker Kessler,14,0,2024-25,23,UTA,14,14,0,397,64,88,64,88,0,0,19,33,53,93,146,20,8,40,20,34,147,0.727,0.727,,0.576,0.717,0.727,C,kesslwa01
Kyle Kuzma,12,0,2024-25,29,WAS,12,12,0,330,76,181,60,123,16,58,22,32,8,59,67,23,5,3,29,23,190,0.42,0.488,0.276,0.688,0.487,0.464,F,kuzmaky01
Zach LaVine,19,0,2024-25,29,CHI,19,19,0,634,151,296,91,156,60,140,52,63,4,77,81,78,15,6,49,32,414,0.51,0.583,0.429,0.825,0.639,0.611,G-F,lavinza01
Damian Lillard,16,0,2024-25,34,MIL,16,16,0,579,127,288,74,141,53,147,108,117,10,62,72,125,16,4,44,30,415,0.441,0.525,0.361,0.923,0.611,0.533,G,lillada01
Brook Lopez,19,0,2024-25,36,MIL,19,19,0,623,89,186,50,80,39,106,23,31,22,72,94,35,24,45,23,47,240,0.478,0.625,0.368,0.742,0.601,0.583,C,lopezbr01
Kyle Lowry,10,0,2024-25,38,PHI,13,10,0,315,24,63,7,15,17,48,15,19,6,23,29,44,16,5,11,24,80,0.381,0.467,0.354,0.789,0.561,0.516,G,lowryky01
Terance Mann,11,0,2024-25,28,LAC,22,11,0,471,54,124,39,79,15,45,16,24,24,47,71,40,22,4,12,47,139,0.435,0.494,0.333,0.667,0.516,0.496,G-F,mannte01
Lauri Markkanen,16,0,2024-25,27,UTA,16,16,0,515,99,217,55,106,44,111,72,85,27,78,105,36,12,2,22,28,314,0.456,0.519,0.396,0.847,0.617,0.558,F-C,markkla01
Caleb Martin,15,0,2024-25,29,PHI,16,15,0,513,54,131,40,85,14,46,36,53,25,54,79,40,17,9,32,30,158,0.412,0.471,0.304,0.679,0.512,0.466,F,martica02
Bennedict Mathurin,16,0,2024-25,22,IND,21,16,0,681,126,258,89,172,37,86,100,119,26,116,142,39,14,5,43,50,389,0.488,0.517,0.43,0.84,0.627,0.56,G-F,mathube01
Tyrese Maxey,12,0,2024-25,24,PHI,12,12,0,434,111,266,72,149,39,117,50,59,2,36,38,54,24,4,22,32,311,0.417,0.483,0.333,0.847,0.533,0.491,G,maxeyty01
Jaden McDaniels,20,0,2024-25,24,MIN,20,20,0,601,78,178,55,100,23,78,18,26,24,49,73,37,23,17,23,65,197,0.438,0.55,0.295,0.692,0.52,0.503,F,mcdanja02
Brandon Miller,16,0,2024-25,22,CHO,16,16,0,547,116,293,55,124,61,169,37,40,17,68,85,59,23,13,47,43,330,0.396,0.444,0.361,0.925,0.531,0.5,F-G,millebr02
Yves Missi,15,0,2024-25,20,NOP,21,15,0,517,76,134,76,134,0,0,37,60,74,89,163,29,15,26,27,39,189,0.567,0.567,,0.617,0.589,0.567,C,missiyv01
Davion Mitchell,13,0,2024-25,26,TOR,21,13,0,585,57,143,38,75,19,68,16,24,10,36,46,112,19,4,45,59,149,0.399,0.507,0.279,0.667,0.485,0.465,G,mitchda01
Donovan Mitchell,20,0,2024-25,28,CLE,20,20,0,637,176,385,102,199,74,186,66,82,12,85,97,79,30,6,41,46,492,0.457,0.513,0.398,0.805,0.584,0.553,G,mitchdo01
Evan Mobley,20,0,2024-25,23,CLE,20,20,0,626,138,253,126,214,12,39,66,80,46,140,186,56,21,32,45,43,354,0.545,0.589,0.308,0.825,0.614,0.569,F-C,mobleev01
Ja Morant,11,0,2024-25,25,MEM,11,11,0,301,78,168,66,123,12,45,65,77,5,42,47,99,9,4,41,18,233,0.464,0.537,0.267,0.844,0.577,0.5,G,moranja01
Jamal Murray,15,0,2024-25,27,DEN,15,15,0,537,97,229,66,136,31,93,46,58,8,53,61,93,21,7,30,26,271,0.424,0.485,0.333,0.793,0.532,0.491,G,murraja01
Keegan Murray,21,0,2024-25,24,SAC,21,21,0,772,100,241,68,124,32,117,24,29,53,110,163,34,15,15,23,66,256,0.415,0.548,0.274,0.828,0.504,0.481,F,murrake02
Jusuf Nurkić,16,0,2024-25,30,PHO,16,16,0,385,47,112,33,65,14,47,35,52,29,130,159,21,15,10,37,47,143,0.42,0.508,0.298,0.673,0.53,0.482,C,nurkiju01
Isaac Okoro,12,0,2024-25,24,CLE,19,12,0,397,41,84,19,37,22,47,10,16,17,27,44,33,14,8,6,38,114,0.488,0.514,0.468,0.625,0.626,0.619,G-F,okorois01
Kelly Oubre Jr.,15,0,2024-25,29,PHI,18,15,0,555,90,209,70,130,20,79,29,38,28,63,91,24,20,10,25,58,229,0.431,0.538,0.253,0.763,0.507,0.478,F,oubreke01
Chris Paul,20,0,2024-25,39,SAS,20,20,0,572,72,159,33,55,39,104,31,31,7,63,70,165,27,5,36,37,214,0.453,0.6,0.375,1,0.62,0.575,G,paulch01
Jakob Poeltl,21,0,2024-25,29,TOR,21,21,0,683,144,244,144,243,0,1,47,74,90,159,249,51,23,27,47,78,335,0.59,0.593,0,0.635,0.606,0.59,C,poeltja01
Jordan Poole,16,0,2024-25,25,WAS,16,16,0,481,112,250,61,129,51,121,61,69,4,32,36,78,30,8,54,54,336,0.448,0.473,0.421,0.884,0.599,0.55,G,poolejo01
Michael Porter Jr.,18,0,2024-25,26,DEN,18,18,0,643,132,262,85,147,47,115,23,37,29,101,130,50,14,6,20,43,334,0.504,0.578,0.409,0.622,0.6,0.594,F,portemi01
Norman Powell,16,0,2024-25,31,LAC,16,16,0,526,130,264,67,137,63,127,54,65,4,42,46,36,18,3,33,28,377,0.492,0.489,0.496,0.831,0.644,0.612,G,powelno01
Taurean Prince,19,0,2024-25,30,MIL,19,19,0,548,59,118,20,46,39,72,9,11,14,74,88,35,17,3,22,43,166,0.5,0.435,0.542,0.818,0.676,0.665,F,princta02
Julius Randle,20,0,2024-25,30,MIN,20,20,0,676,144,288,112,196,32,92,100,123,35,101,136,81,16,1,56,52,420,0.5,0.571,0.348,0.813,0.614,0.556,F-C,randlju01
Austin Reaves,19,0,2024-25,26,LAL,19,19,0,641,110,250,60,109,50,141,48,62,15,52,67,92,20,4,43,41,318,0.44,0.55,0.355,0.774,0.573,0.54,G,reaveau01
Zaccharie Risacher,20,0,2024-25,19,ATL,22,20,0,535,93,227,64,124,29,103,41,60,25,52,77,30,20,17,26,48,256,0.41,0.516,0.282,0.683,0.505,0.474,F,risacza01
Terry Rozier,12,0,2024-25,30,MIA,17,12,0,502,74,184,39,87,35,97,29,33,10,51,61,55,10,6,29,27,212,0.402,0.448,0.361,0.879,0.534,0.497,G,roziete01
Domantas Sabonis,19,0,2024-25,28,SAC,19,19,0,696,148,239,127,190,21,49,76,92,62,183,245,122,15,9,68,71,393,0.619,0.668,0.429,0.826,0.703,0.663,C-F,sabondo01
Alex Sarr,18,0,2024-25,19,WAS,18,18,0,482,71,189,51,107,20,82,28,42,35,74,109,38,13,33,23,50,190,0.376,0.477,0.244,0.667,0.458,0.429,F,sarral01
Dennis Schröder,20,0,2024-25,31,BRK,20,20,0,681,126,285,75,153,51,132,68,76,4,57,61,131,23,4,49,49,371,0.442,0.49,0.386,0.895,0.583,0.532,G,schrode01
Alperen Sengun,21,0,2024-25,22,HOU,21,21,0,647,151,320,143,289,8,31,84,110,74,154,228,111,24,26,44,57,394,0.472,0.495,0.258,0.764,0.535,0.484,C-F,sengual01
Collin Sexton,18,0,2024-25,26,UTA,20,18,0,567,116,244,80,158,36,86,70,79,14,37,51,63,14,3,47,49,338,0.475,0.506,0.419,0.886,0.606,0.549,G,sextoco01
Shaedon Sharpe,11,0,2024-25,21,POR,13,11,0,399,85,195,62,114,23,81,41,52,11,30,41,30,12,3,25,23,234,0.436,0.544,0.284,0.788,0.537,0.495,G,sharpsh01
Pascal Siakam,21,0,2024-25,30,IND,21,21,0,717,170,314,132,222,38,92,58,72,37,97,134,83,17,5,31,61,436,0.541,0.595,0.413,0.806,0.631,0.602,F-C,siakapa01
Ben Simmons,13,0,2024-25,28,BRK,16,13,0,387,42,71,42,71,0,0,3,6,17,75,92,105,13,8,42,45,87,0.592,0.592,,0.5,0.591,0.592,G-F,simmobe01
Anfernee Simons,18,0,2024-25,25,POR,18,18,0,547,109,265,62,129,47,136,46,51,4,42,46,78,16,1,45,35,311,0.411,0.481,0.346,0.902,0.541,0.5,G,simonan01
Jabari Smith Jr.,21,0,2024-25,21,HOU,21,21,0,613,89,200,54,102,35,98,39,45,39,104,143,17,6,17,13,47,252,0.445,0.529,0.357,0.867,0.573,0.533,F,smithja05
Jalen Suggs,21,0,2024-25,23,ORL,21,21,0,611,109,262,64,122,45,140,57,61,13,75,88,83,28,22,58,57,320,0.416,0.525,0.321,0.934,0.554,0.502,G,suggsja01
Jayson Tatum,21,0,2024-25,26,BOS,21,21,0,764,192,423,109,201,83,222,130,162,10,171,181,118,28,12,62,51,597,0.454,0.542,0.374,0.802,0.604,0.552,F,tatumja01
Cam Thomas,17,0,2024-25,23,BRK,17,17,0,568,137,297,88,171,49,126,97,112,6,49,55,57,12,1,48,34,420,0.461,0.515,0.389,0.866,0.606,0.544,G,thomaca02
Klay Thompson,17,0,2024-25,34,DAL,17,17,0,485,80,209,30,73,50,136,15,16,12,49,61,31,11,7,16,22,225,0.383,0.411,0.368,0.938,0.521,0.502,G-F,thompkl01
Karl-Anthony Towns,19,0,2024-25,29,NYK,19,19,0,634,172,323,127,224,45,99,90,105,56,191,247,61,16,15,41,62,479,0.533,0.567,0.455,0.857,0.649,0.602,C-F,townska01
Myles Turner,19,0,2024-25,28,IND,19,19,0,612,109,232,71,133,38,99,43,61,26,115,141,27,16,37,49,62,299,0.47,0.534,0.384,0.705,0.578,0.552,C-F,turnemy01
Fred VanVleet,20,0,2024-25,30,HOU,20,20,0,698,113,284,63,136,50,148,49,59,11,75,86,123,33,8,25,49,325,0.398,0.463,0.338,0.831,0.524,0.486,G,vanvlfr01
Nikola Vučević,22,0,2024-25,34,CHI,22,22,0,699,184,316,135,213,49,103,43,51,43,176,219,71,15,19,40,52,460,0.582,0.634,0.476,0.843,0.68,0.66,C,vucevni01
Franz Wagner,22,0,2024-25,23,ORL,22,22,0,715,188,405,142,269,46,136,93,109,21,104,125,129,39,10,50,52,515,0.464,0.528,0.338,0.853,0.568,0.521,G-F,wagnefr01
Cason Wallace,10,0,2024-25,21,OKC,20,10,0,526,55,132,38,72,17,60,4,5,26,45,71,41,32,13,7,42,131,0.417,0.528,0.283,0.8,0.488,0.481,G,wallaca01
P.J. Washington,15,0,2024-25,26,DAL,16,15,0,522,76,166,55,107,21,59,27,35,28,110,138,37,23,18,25,35,200,0.458,0.514,0.356,0.771,0.551,0.521,F,washipj01
Peyton Watson,11,0,2024-25,22,DEN,18,11,0,469,67,138,51,93,16,45,28,36,19,45,64,23,14,18,15,38,178,0.486,0.548,0.356,0.778,0.579,0.543,G-F,watsope01
Jaylen Wells,16,0,2024-25,21,MEM,21,16,0,532,94,205,52,99,42,106,27,35,19,52,71,39,8,5,26,33,257,0.459,0.525,0.396,0.771,0.583,0.561,F,wellsja01
