Player,GS,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Shai Gilgeous-Alexander,35,0,2020-21,22,OKC,35,35,0,1180,287,565,216,395,71,170,185,229,19,147,166,207,27,23,106,70,830,0.508,0.547,0.418,0.808,0.623,0.571,G,gilgesh01
Rudy Gobert,71,1,2020-21,28,UTA,71,71,1,2187,391,579,391,575,0,4,233,374,240,720,960,89,40,190,118,163,1015,0.675,0.68,0,0.623,0.683,0.675,C,goberru01
Aaron Gordon,50,0,2020-21,25,DENORL,50,50,0,1384,231,499,172,323,59,176,97,149,77,207,284,161,33,34,97,89,618,0.463,0.533,0.335,0.651,0.547,0.522,F,gordoaa01
Eric Gordon,13,0,2020-21,32,HOU,27,13,0,789,159,367,90,157,69,210,94,114,8,50,58,71,14,13,51,44,481,0.433,0.573,0.329,0.825,0.577,0.527,G-F,gordoer01
Devonte' Graham,44,0,2020-21,25,CHO,55,44,0,1659,252,669,73,192,179,477,133,158,22,126,148,295,48,6,84,77,816,0.377,0.38,0.375,0.842,0.552,0.51,G,grahade01
Jerami Grant,54,0,2020-21,26,DET,54,54,0,1829,400,932,285,603,115,329,290,343,35,215,250,152,35,58,109,125,1205,0.429,0.473,0.35,0.845,0.556,0.491,F,grantje01
Draymond Green,63,0,2020-21,30,GSW,63,63,0,1982,170,380,136,254,34,126,70,88,55,394,449,558,105,52,188,194,444,0.447,0.535,0.27,0.795,0.53,0.492,F,greendr01
Jeff Green,38,0,2020-21,34,BRK,68,38,0,1835,261,530,158,280,103,250,125,161,34,229,263,108,36,27,54,122,750,0.492,0.564,0.412,0.776,0.624,0.59,F,greenje02
Rui Hachimura,57,0,2020-21,22,WAS,57,57,0,1797,310,648,265,511,45,137,124,161,49,263,312,82,44,7,68,120,789,0.478,0.519,0.328,0.77,0.549,0.513,F,hachiru01
Tyrese Haliburton,20,0,2020-21,20,SAC,58,20,0,1746,292,619,171,323,121,296,48,56,39,134,173,309,77,28,92,83,753,0.472,0.529,0.409,0.857,0.585,0.569,G,halibty01
Tim Hardaway Jr.,31,0,2020-21,28,DAL,70,31,0,1985,407,911,200,382,207,529,142,174,20,209,229,126,31,11,64,111,1163,0.447,0.524,0.391,0.816,0.589,0.56,G,hardati02
James Harden,43,1,2020-21,31,BRKHOU,44,43,1,1609,342,734,221,400,121,334,278,323,35,313,348,475,53,33,177,99,1083,0.466,0.553,0.362,0.861,0.618,0.548,G,hardeja01
Maurice Harkless,23,0,2020-21,27,MIASAC,37,23,0,772,69,165,46,81,23,84,33,43,13,76,89,44,30,20,22,86,194,0.418,0.568,0.274,0.767,0.527,0.488,F-G,harklma01
