Player,AS_x,Season,Age,Team_x,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Rk_y,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional_y
Kyrie Irving,1,2022-23,30,BRKDAL,60,60,2241,594,1203,406,707,188,496,247,273,59,245,304,331,66,45,128,165,1623,0.494,0.574,0.379,0.905,0.613,0.572,518,7.4,121,116,5.4,2,0.159,4.8,-0.7,4.1,3.5,22.4,3,12.3,7.7,25.4,1.4,1.7,8.8,28.9,G,irvinky01
Jaden Ivey,0,2022-23,20,DET,74,73,2304,409,983,289,633,120,350,266,356,73,215,288,387,61,17,237,242,1204,0.416,0.457,0.343,0.747,0.528,0.477,519,0,103,121,-0.9,0.8,-0.001,-1.4,-1.9,-3.3,-0.7,12.1,3.4,10.7,6.9,26.2,1.3,0.7,17.2,25.4,G,iveyja01
Isaiah Jackson,0,2022-23,21,IND,63,12,1042,179,318,177,304,2,14,95,146,113,169,282,51,31,93,51,154,455,0.563,0.582,0.143,0.651,0.595,0.566,520,2.7,120,114,1.5,1.2,0.124,-1.7,0.9,-0.8,0.3,17.5,12.1,18,15,7,1.4,7.7,11.8,17.4,C-F,jacksis01
Jaren Jackson Jr.,1,2022-23,23,MEM,63,63,1787,416,822,316,540,100,282,241,306,108,318,426,60,65,189,107,227,1173,0.506,0.585,0.355,0.788,0.613,0.567,521,6.6,118,105,2.8,3.8,0.177,0.7,2,2.8,2.2,21.6,6.4,18.8,12.6,5,1.7,9.6,10.1,24.7,F,jacksja02
Reggie Jackson,0,2022-23,32,DENLAC,68,40,1657,263,640,167,352,96,288,71,78,25,119,144,233,47,6,115,114,693,0.411,0.474,0.333,0.91,0.514,0.486,522,0.6,103,118,-0.6,1.2,0.018,-2.9,-1.1,-3.9,-0.8,10,1.7,8,4.9,20,1.4,0.3,14.6,20.8,G,jacksre01
LeBron James,1,2022-23,38,LAL,55,54,1954,609,1219,488,842,121,377,251,327,65,392,457,375,50,32,178,88,1590,0.5,0.58,0.321,0.768,0.583,0.549,523,5.6,114,113,3.2,2.4,0.138,5.5,0.6,6.1,4,23.9,3.7,20.8,12.5,33.5,1.2,1.4,11.6,33.3,F-G,jamesle01
Isaiah Joe,0,2022-23,23,OKC,73,10,1395,224,508,63,114,161,394,82,100,27,148,175,88,48,8,39,105,691,0.441,0.553,0.409,0.82,0.626,0.599,524,3.8,125,116,2.5,1.3,0.131,1.3,-0.4,0.9,1,14.5,2,11.6,6.7,8.7,1.6,0.5,6.6,17.7,G,joeis01
Cameron Johnson,0,2022-23,26,BRKPHO,42,41,1199,223,474,120,219,103,255,101,120,34,151,185,78,50,14,37,83,650,0.47,0.548,0.404,0.842,0.617,0.579,525,3.5,122,114,2.1,1.4,0.142,2,0.6,2.6,1.4,17.1,3.2,14,8.6,9.6,2,1,6.6,20.6,F,johnsca02
Keldon Johnson,0,2022-23,23,SAS,63,63,2063,503,1113,369,706,134,407,245,327,56,262,318,183,46,11,134,125,1385,0.452,0.523,0.329,0.749,0.551,0.512,526,1.3,108,122,0.7,0.5,0.03,0.7,-2.5,-1.8,0.1,15.3,2.9,14.4,8.4,13.7,1.1,0.4,9.6,27.9,G,johnske04
Nikola Jokić,1,2022-23,27,DEN,69,69,2323,646,1022,589,873,57,149,341,415,167,650,817,678,87,47,247,174,1690,0.632,0.675,0.383,0.822,0.701,0.66,527,14.9,134,110,11.2,3.8,0.308,8.5,4.5,13,8.8,31.5,8.5,31.3,20.2,46.6,1.8,1.8,17,27.2,C-F,jokicni01
Herbert Jones,0,2022-23,24,NOP,66,66,1951,235,501,179,334,56,167,123,161,97,172,269,162,103,42,88,208,649,0.469,0.536,0.335,0.764,0.567,0.525,528,4.2,115,112,1.5,2.7,0.104,-1.9,1.7,-0.3,0.8,12.1,5.6,10,7.8,11.1,2.6,2.1,13.3,14.5,F,joneshe01
Tre Jones,0,2022-23,23,SAS,68,65,1984,341,743,296,585,45,158,148,172,56,189,245,448,89,9,110,98,875,0.459,0.506,0.285,0.86,0.534,0.489,529,3.4,117,120,2.6,0.8,0.082,-0.2,-0.8,-1,0.5,16,3,10.8,6.7,31.5,2.1,0.4,11.8,19.3,G,jonestr01
Tyus Jones,0,2022-23,26,MEM,80,22,1940,311,710,190,384,121,326,80,100,28,172,200,417,83,6,74,32,823,0.438,0.495,0.371,0.8,0.546,0.523,530,5.7,122,113,3.4,2.3,0.141,1.2,0.3,1.6,1.7,16,1.5,9.4,5.5,28.8,2,0.3,8.9,17.7,G,jonesty01
Luke Kennard,0,2022-23,26,LACMEM,59,14,1315,188,382,55,113,133,269,37,39,15,143,158,91,32,5,46,82,546,0.492,0.487,0.494,0.949,0.684,0.666,531,3.4,128,116,2.2,1.2,0.124,0.6,-0.1,0.5,0.8,13,1.2,11.8,6.6,9.4,1.2,0.3,10.3,14.5,G,kennalu01
Walker Kessler,0,2022-23,21,UTA,74,40,1703,298,414,297,411,1,3,82,159,231,389,620,69,26,173,58,169,679,0.72,0.723,0.333,0.516,0.702,0.721,532,7.1,140,111,4.6,2.5,0.2,1.4,1.5,2.9,2.1,21.5,14.9,24.4,19.7,5.7,0.7,8.6,10.7,13.3,C,kesslwa01
Corey Kispert,0,2022-23,23,WAS,74,45,2093,291,585,128,201,163,384,75,88,33,174,207,87,32,9,55,97,820,0.497,0.637,0.424,0.852,0.657,0.637,533,3.8,124,120,2.9,0.9,0.088,-0.1,-1.4,-1.5,0.2,11.5,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,G-F,kispeco01
Christian Koloko,0,2022-23,22,TOR,58,19,802,72,150,71,138,1,12,37,59,84,87,171,31,21,57,20,128,182,0.48,0.514,0.083,0.627,0.517,0.483,534,1.7,119,113,0.7,1,0.104,-4.3,0.8,-3.5,-0.3,11.4,11.1,13.3,12.1,5,1.3,6.9,10.2,10.4,C,kolokch01
John Konchar,0,2022-23,26,MEM,72,23,1494,138,320,78,143,60,177,28,36,64,246,310,100,77,25,37,112,364,0.431,0.545,0.339,0.778,0.542,0.525,535,3.5,117,109,1,2.5,0.111,-1.9,2.4,0.5,0.9,10.8,4.5,17.4,11,8.2,2.4,1.5,9.9,10.4,G,konchjo01
Jonathan Kuminga,0,2022-23,20,GSW,67,16,1394,261,497,207,351,54,146,90,138,70,161,231,125,41,31,95,157,666,0.525,0.59,0.37,0.652,0.597,0.579,536,2.4,112,115,1,1.4,0.084,-1.7,-0.1,-1.7,0.1,13.3,5.6,12.5,9.1,12.7,1.4,2,14.6,19.6,F,kuminjo01
Kyle Kuzma,0,2022-23,27,WAS,64,64,2239,512,1142,352,661,160,481,173,237,55,408,463,239,36,29,190,145,1357,0.448,0.533,0.333,0.73,0.544,0.518,537,0.9,103,117,-1,1.9,0.019,-0.2,-1.5,-1.7,0.2,14.3,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,F,kuzmaky01
Romeo Langford,0,2022-23,23,SAS,43,21,844,121,259,105,198,16,61,39,56,57,57,114,50,24,13,30,67,297,0.467,0.53,0.262,0.696,0.524,0.498,538,0.5,110,122,0.3,0.2,0.029,-2.6,-1.5,-4.2,-0.5,10.4,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,G,langfro01
Zach LaVine,0,2022-23,27,CHI,77,77,2768,673,1388,469,844,204,544,363,428,42,303,345,327,69,18,194,159,1913,0.485,0.556,0.375,0.848,0.607,0.558,539,7.1,116,115,4.2,2.9,0.123,2.7,-0.7,1.9,2.7,19,1.7,12.2,7.1,18.7,1.2,0.6,11,28.3,G-F,lavinza01
Kawhi Leonard,0,2022-23,31,LAC,52,50,1748,446,871,342,621,104,250,243,279,57,281,338,204,72,28,88,84,1239,0.512,0.551,0.416,0.871,0.623,0.572,540,7.1,125,113,4.9,2.2,0.194,5.1,0.9,6.1,3.5,23.9,3.7,17.8,10.8,19.6,2,1.4,8.1,27,F,leonaka01
Caris LeVert,0,2022-23,28,CLE,74,30,2237,320,742,193,418,127,324,130,180,53,229,282,287,72,24,116,170,897,0.431,0.462,0.392,0.722,0.546,0.517,541,4.4,111,112,1.4,3.1,0.095,-1,0.8,-0.2,1,12.4,2.8,12.1,7.4,18,1.6,1,12.4,18.7,G-F,leverca01
Damian Lillard,1,2022-23,32,POR,58,58,2107,556,1202,312,544,244,658,510,558,44,233,277,425,50,18,191,109,1866,0.463,0.574,0.371,0.914,0.645,0.564,542,9,126,121,8.2,0.8,0.205,8.3,-1.2,7.1,4.9,26.7,2.4,12.8,7.6,35,1.2,0.8,11.7,33.8,G,lillada01
Isaiah Livers,0,2022-23,24,DET,52,22,1199,120,288,46,85,74,203,32,39,28,115,143,41,28,28,30,103,346,0.417,0.541,0.365,0.821,0.567,0.545,543,1,113,120,0.5,0.5,0.041,-2.1,-0.3,-2.4,-0.1,8.4,2.5,11,6.6,4.8,1.1,2.1,9,11.9,F,liveris01
Kevon Looney,0,2022-23,26,GSW,82,70,1958,242,384,242,383,0,1,94,155,274,486,760,207,52,50,45,225,578,0.63,0.632,0,0.606,0.639,0.63,544,8.7,147,111,5.9,2.8,0.212,0.9,1.3,2.1,2,17.8,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,F-C,looneke01
Brook Lopez,0,2022-23,34,MIL,78,78,2373,477,899,341,535,136,364,149,190,157,363,520,99,37,193,107,203,1239,0.531,0.637,0.374,0.784,0.63,0.606,545,8,122,109,4.1,3.9,0.161,0.8,1.3,2.1,2.5,18.4,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,C,lopezbr01
Kevin Love,0,2022-23,34,CLEMIA,62,20,1240,165,424,66,128,99,296,80,91,59,340,399,116,16,12,70,97,509,0.389,0.516,0.334,0.879,0.548,0.506,546,2.6,110,110,0.6,2,0.099,0.2,0.4,0.6,0.8,13.1,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,F-C,loveke01
Kyle Lowry,0,2022-23,36,MIA,55,44,1718,196,485,89,175,107,310,116,135,43,182,225,281,57,21,103,143,615,0.404,0.509,0.345,0.859,0.565,0.514,547,3.4,114,114,1.5,1.9,0.096,-0.7,0.8,0.2,0.9,12.6,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,G,lowryky01
Terance Mann,0,2022-23,26,LAC,81,36,1872,272,524,195,326,77,198,92,118,77,199,276,184,42,22,80,149,713,0.519,0.598,0.389,0.78,0.619,0.593,548,4.3,123,117,2.8,1.5,0.111,-0.3,0.1,-0.2,0.8,13.4,4.7,11.8,8.3,14,1.1,1,12.2,15.3,G-F,mannte01
Lauri Markkanen,1,2022-23,25,UTA,66,66,2273,571,1145,371,634,200,511,349,399,130,440,570,123,42,38,127,137,1691,0.499,0.585,0.391,0.875,0.64,0.586,549,8.2,125,116,6.3,1.9,0.173,4.9,-1,3.8,3.3,22.1,6.3,20.7,13.6,8.6,0.9,1.4,8.8,26.6,F-C,markkla01
Naji Marshall,0,2022-23,25,NOP,77,21,1792,247,571,181,353,66,218,138,175,48,231,279,189,54,14,97,113,698,0.433,0.513,0.303,0.789,0.539,0.49,550,2.5,109,114,0.5,2,0.068,-1.9,0,-1.9,0.1,11.4,3,14.6,8.8,14.4,1.5,0.7,13,17.8,F,marshna01
Caleb Martin,0,2022-23,27,MIA,71,49,2077,254,548,170,312,84,236,91,113,88,256,344,117,71,31,78,145,683,0.464,0.545,0.356,0.805,0.571,0.54,551,3.7,113,113,1.2,2.5,0.086,-1.8,0.5,-1.2,0.4,11.4,4.8,15,9.7,8.2,1.7,1.5,11.5,14.4,F,martica02
KJ Martin,0,2022-23,22,HOU,82,49,2292,410,720,342,504,68,216,151,222,126,326,452,123,41,30,91,147,1039,0.569,0.679,0.315,0.68,0.635,0.617,552,4.9,126,121,4.2,0.7,0.103,0.6,-1.3,-0.7,0.7,15.4,6,15.8,10.8,8.1,0.9,1.3,10,16.4,F,martike04
Bennedict Mathurin,0,2022-23,20,IND,78,17,2222,413,951,313,641,100,310,376,454,87,231,318,116,48,13,152,162,1302,0.434,0.488,0.323,0.828,0.566,0.487,553,1.8,109,121,1,0.8,0.038,-1.2,-2.5,-3.7,-1,13.1,4.4,11.5,7.9,7.6,1,0.5,11.7,24.6,G-F,mathube01
Tyrese Maxey,0,2022-23,22,PHI,60,41,2016,439,913,279,544,160,369,180,213,23,153,176,212,49,8,80,132,1218,0.481,0.513,0.434,0.845,0.605,0.568,554,5.4,120,117,3.7,1.6,0.128,1.9,-1.2,0.6,1.3,17,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,G,maxeyty01
CJ McCollum,0,2022-23,31,NOP,75,75,2649,587,1344,376,801,211,543,183,238,55,273,328,429,70,38,183,153,1568,0.437,0.469,0.389,0.769,0.541,0.515,555,4.3,110,115,1.5,2.8,0.078,1.5,-0.7,0.8,1.9,15.6,2.4,11.7,7,25.1,1.3,1.4,11.2,26.4,G,mccolcj01
Jalen McDaniels,0,2022-23,25,CHOPHI,80,24,1913,281,617,204,385,77,232,116,138,63,283,346,130,83,34,93,209,755,0.455,0.53,0.332,0.841,0.557,0.518,556,2.7,108,114,0.5,2.2,0.068,-2.7,0.6,-2.1,-0.1,11.8,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,F,mcdanja01
Jaden McDaniels,0,2022-23,22,MIN,79,79,2416,370,716,263,447,107,269,106,144,92,215,307,148,74,76,112,272,953,0.517,0.588,0.398,0.736,0.611,0.591,557,4.4,115,115,2,2.4,0.087,-1.7,0.5,-1.2,0.5,12,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,F,mcdanja02
Rodney McGruder,0,2022-23,31,DET,32,12,524,62,152,21,55,41,97,18,22,20,54,74,28,16,1,11,39,183,0.408,0.382,0.423,0.818,0.566,0.543,558,0.7,119,121,0.5,0.2,0.068,-0.8,-0.7,-1.5,0.1,10.7,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14,G,mcgruro01
De'Anthony Melton,0,2022-23,24,PHI,77,58,2150,277,651,120,248,157,403,69,87,69,243,312,197,126,41,102,191,780,0.425,0.484,0.39,0.793,0.566,0.546,559,4.2,111,111,1.1,3.1,0.095,-0.7,1.6,0.9,1.6,12.7,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,G,meltode01
Khris Middleton,0,2022-23,31,MIL,33,19,801,177,406,126,244,51,162,92,102,28,112,140,163,23,5,71,68,497,0.436,0.516,0.315,0.902,0.551,0.499,560,1.9,113,113,1,1,0.117,1,-0.3,0.8,0.6,17.4,3.8,14,9.1,30.7,1.4,0.5,13.6,27.4,F-G,middlkh01
Shake Milton,0,2022-23,26,PHI,76,11,1567,241,503,185,355,56,148,99,116,39,152,191,240,25,13,94,123,637,0.479,0.521,0.378,0.853,0.575,0.535,561,2.9,115,117,1.6,1.2,0.087,-1,-0.9,-2,0,12.7,3,11.3,7.2,22.3,0.8,0.8,14.5,18.5,G,miltosh01
Donovan Mitchell,1,2022-23,26,CLE,68,68,2432,679,1402,434,767,245,635,319,368,63,226,289,301,99,27,180,168,1922,0.484,0.566,0.386,0.867,0.614,0.572,562,8.9,118,111,5.4,3.5,0.176,5.6,0.6,6.3,5,22.9,3.1,10.9,7,21.4,2,1,10.3,32.1,G,mitchdo01
Evan Mobley,0,2022-23,21,CLE,79,79,2715,525,947,503,845,22,102,205,304,187,524,711,224,60,119,146,218,1277,0.554,0.595,0.216,0.674,0.591,0.566,563,8.5,117,108,3.7,4.8,0.151,0,1.6,1.7,2.5,17.9,8.1,22.7,15.4,12.4,1.1,4,11.9,20.2,F-C,mobleev01
Ja Morant,1,2022-23,23,MEM,61,59,1948,566,1214,474,914,92,300,372,497,61,296,357,493,66,16,206,100,1596,0.466,0.519,0.307,0.748,0.557,0.504,564,6,114,112,3.4,2.6,0.148,5.2,0.5,5.7,3.8,23.3,3.3,16.1,9.7,41.1,1.6,0.7,12.6,34.9,G,moranja01
Marcus Morris,0,2022-23,33,LAC,65,65,1825,274,643,162,335,112,308,68,87,29,229,258,114,42,21,56,136,728,0.426,0.484,0.364,0.782,0.534,0.513,565,2,108,116,0.4,1.6,0.053,-1.8,-0.2,-1.9,0,10.5,1.8,13.9,7.9,8.9,1.1,1,7.6,17.6,F,morrima03
Monte Morris,0,2022-23,27,WAS,62,61,1695,247,515,169,311,78,204,64,77,26,184,210,326,43,13,60,75,636,0.48,0.543,0.382,0.831,0.579,0.555,566,4.2,125,118,3.1,1.1,0.12,0.8,-0.4,0.5,1.1,15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,G,morrimo01
Trey Murphy III,0,2022-23,22,NOP,79,65,2448,387,800,185,303,202,497,172,190,59,222,281,112,89,43,61,155,1148,0.484,0.611,0.406,0.905,0.65,0.61,567,7.6,128,114,4.8,2.8,0.15,1.4,0.4,1.8,2.3,15.2,2.7,10.3,6.5,6.4,1.8,1.7,6.5,16.6,F,murphtr02
Dejounte Murray,0,2022-23,26,ATL,74,74,2693,612,1319,479,932,133,387,158,190,53,336,389,448,112,19,160,106,1515,0.464,0.514,0.344,0.832,0.54,0.514,568,4.7,112,116,2.4,2.3,0.084,1.1,0,1,2.1,17,2.1,13.8,7.9,24,2,0.6,10.2,24.4,G,murrade01
Jamal Murray,0,2022-23,25,DEN,65,65,2133,473,1041,301,609,172,432,180,216,48,209,257,400,66,16,145,103,1298,0.454,0.494,0.398,0.833,0.571,0.537,569,5.1,116,116,3.3,1.9,0.116,2.6,-1.3,1.3,1.8,18,2.7,11,6.9,27.5,1.5,0.7,11.3,26.1,G,murraja01
Keegan Murray,0,2022-23,22,SAC,80,78,2382,354,782,148,281,206,501,62,81,89,282,371,98,61,42,60,162,976,0.453,0.527,0.411,0.765,0.597,0.584,570,4.3,119,117,2.6,1.7,0.087,0.4,-1,-0.6,0.8,12.3,4.3,13.4,8.9,5.5,1.2,1.5,6.8,15.8,F,murrake02
Andrew Nembhard,0,2022-23,23,IND,75,63,2073,284,644,192,381,92,263,49,62,35,164,199,341,70,13,126,179,709,0.441,0.504,0.35,0.79,0.528,0.512,571,1.2,108,120,0.4,0.8,0.029,-2.4,-0.8,-3.2,-0.6,10,1.9,8.8,5.3,22.4,1.6,0.5,15.8,16.1,G,nembhan01
Aaron Nesmith,0,2022-23,23,IND,73,60,1816,252,590,137,276,115,314,119,142,62,215,277,98,55,34,75,235,738,0.427,0.496,0.366,0.838,0.566,0.525,572,2,111,119,0.9,1.1,0.052,-2.3,-0.7,-3,-0.4,10.5,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,G-F,nesmiaa01
Jusuf Nurkić,0,2022-23,28,POR,52,52,1391,262,505,219,386,43,119,127,192,114,357,471,149,43,44,119,185,694,0.519,0.567,0.361,0.661,0.589,0.561,573,2.7,112,114,1.2,1.5,0.092,-0.6,0.7,0.1,0.7,17.3,9.3,29.7,19.5,16.4,1.5,2.8,16.8,22.1,C,nurkiju01
Jordan Nwora,0,2022-23,24,INDMIL,62,14,1188,194,445,108,234,86,211,68,86,51,178,229,88,24,14,66,74,542,0.436,0.462,0.408,0.791,0.561,0.533,574,1.5,109,116,0.5,1,0.06,-0.8,-1.3,-2.1,0,12.2,4.7,15.8,10.4,10.5,1,1,12,19.4,F,nworajo01
Josh Okogie,0,2022-23,24,PHO,72,26,1350,162,414,96,217,66,197,139,192,109,142,251,105,56,34,63,114,529,0.391,0.442,0.335,0.724,0.531,0.471,575,2.8,114,113,1.1,1.7,0.101,-0.8,0.5,-0.2,0.6,13.3,8.8,11.9,10.3,10.3,2,2.3,11.2,17.7,G,okogijo01
Onyeka Okongwu,0,2022-23,22,ATL,80,18,1849,317,497,313,484,4,13,153,196,217,359,576,81,56,107,81,251,791,0.638,0.647,0.308,0.781,0.678,0.642,576,7.1,134,112,4.7,2.4,0.185,0,0.8,0.8,1.3,19.4,12.7,21.5,17,5.8,1.4,4.9,12.2,15.1,F,okongon01
