Player,AS_x,Season,Age,Team_x,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Rk_y,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional_y
Georges Niang,0,2020-21,27,UTA,72,10,1154,177,405,53,113,124,292,22,23,28,148,176,59,25,8,51,116,500,0.437,0.469,0.425,0.957,0.602,0.59,1074,2.6,114,111,1.2,1.4,0.108,-0.4,0.1,-0.3,0.5,11.4,2.7,13,8.1,7.3,1.1,0.6,10.9,17.4,F,niangge01
Nerlens Noel,0,2020-21,26,NYK,64,41,1547,137,223,137,220,0,3,50,70,142,266,408,46,70,141,65,176,324,0.614,0.623,0,0.714,0.638,0.614,1075,5.2,121,101,1.6,3.6,0.162,-2.4,3.8,1.4,1.3,14.8,10.1,18.4,14.3,4.1,2.3,8.7,20.4,9.2,C-F,noelne01
Kendrick Nunn,0,2020-21,25,MIA,56,44,1650,319,658,197,338,122,320,56,60,21,158,179,148,52,14,80,108,816,0.485,0.583,0.381,0.933,0.596,0.578,1076,2.9,111,113,1.4,1.5,0.084,-0.1,-0.4,-0.5,0.6,14.2,1.5,10.8,6.2,14.5,1.6,0.9,10.5,20.9,G,nunnke01
Jusuf Nurkić,0,2020-21,26,POR,37,37,880,171,333,159,303,12,30,70,113,86,246,332,125,38,39,73,103,424,0.514,0.525,0.4,0.619,0.554,0.532,1077,2.4,113,109,1.2,1.2,0.133,0.7,1.8,2.5,1,20.5,10.2,30.7,20.2,21.4,2.1,4,16,22.3,C,nurkiju01
Chuma Okeke,0,2020-21,22,ORL,45,19,1133,135,324,86,183,49,141,30,40,42,139,181,101,48,22,38,48,349,0.417,0.47,0.348,0.75,0.511,0.492,1078,1.3,107,114,0.3,1,0.056,-1.9,0.5,-1.5,0.1,11.8,3.7,13.2,8.3,13.2,2.1,1.8,10,14.5,F,okekech01
Josh Okogie,0,2020-21,22,MIN,59,37,1197,102,254,73,146,29,108,83,108,63,93,156,63,54,28,43,123,316,0.402,0.5,0.269,0.769,0.524,0.459,1079,1.3,109,116,0.5,0.8,0.051,-3.7,0.3,-3.3,-0.4,9.1,5.5,8.7,7.1,7,2.1,2,12.5,12.1,G,okogijo01
Isaac Okoro,0,2020-21,20,CLE,67,67,2173,235,559,173,345,62,214,114,157,68,138,206,128,62,24,86,185,646,0.42,0.501,0.29,0.726,0.514,0.476,1080,0.9,103,117,-0.1,1,0.02,-4.2,-0.9,-5.1,-1.7,7.9,3.4,7.3,5.3,8.6,1.4,1,12,14.3,G-F,okorois01
Victor Oladipo,0,2020-21,28,HOUINDMIA,33,33,1080,235,576,157,337,78,239,104,138,12,148,160,151,46,14,83,81,652,0.408,0.466,0.326,0.754,0.512,0.476,1081,0.4,100,114,-0.6,1,0.017,-0.9,-0.8,-1.7,0.1,14.3,1.2,15.1,8,22.8,2,1.2,11.5,28.5,G,oladivi01
Kelly Olynyk,0,2020-21,29,HOUMIA,70,62,1997,337,697,211,329,126,368,145,175,87,402,489,203,79,42,126,207,945,0.484,0.641,0.342,0.829,0.61,0.574,1082,5.1,115,110,2.5,2.6,0.121,0.3,0.9,1.2,1.6,16.4,4.8,22.5,13.6,16,1.9,2.1,14,19.7,C-F,olynyke01
Royce O'Neale,0,2020-21,27,UTA,71,71,2241,175,394,68,116,107,278,39,46,88,397,485,181,57,32,83,182,496,0.444,0.586,0.385,0.848,0.599,0.58,1083,5.6,121,108,2.3,3.3,0.121,-1.2,2.1,1,1.7,9.9,4.4,18,11.5,10.4,1.2,1.2,16.7,9.6,F,onealro01
Cedi Osman,0,2020-21,25,CLE,59,26,1510,219,586,120,262,99,324,76,95,38,163,201,174,53,9,80,119,613,0.374,0.458,0.306,0.8,0.488,0.458,1084,0.5,100,116,-0.5,1,0.014,-2.3,-0.9,-3.2,-0.5,10.3,2.8,12.4,7.5,17.7,1.7,0.5,11.3,20.4,F,osmande01
Kelly Oubre Jr.,0,2020-21,25,GSW,55,50,1687,318,724,228,439,90,285,123,177,82,247,329,73,57,42,70,121,849,0.439,0.519,0.316,0.695,0.529,0.501,1085,2.2,103,110,0,2.2,0.062,-1.4,-0.5,-1.9,0,13.3,5.2,15.4,10.4,6.5,1.6,2.2,8,22.1,F,oubreke01
Chris Paul,1,2020-21,35,PHO,70,70,2199,439,879,337,621,102,258,169,181,25,287,312,622,99,19,156,166,1149,0.499,0.543,0.395,0.934,0.599,0.557,1086,9.2,124,111,6.5,2.7,0.201,3.5,1.1,4.6,3.6,21.4,1.3,14.5,8,40.9,2.2,0.8,14,22.6,G,paulch01
Elfrid Payton,0,2020-21,26,NYK,63,63,1484,269,622,241,524,28,98,73,107,64,152,216,203,47,9,103,116,639,0.432,0.46,0.286,0.682,0.478,0.455,1087,1,99,110,-0.9,1.9,0.032,-2.9,-0.1,-3,-0.4,11.7,4.7,11,7.9,21.6,1.6,0.6,13.3,23.2,G,paytoel01
Mason Plumlee,0,2020-21,30,DET,56,56,1499,234,381,234,374,0,7,113,169,145,374,519,202,43,50,105,186,581,0.614,0.626,0,0.669,0.638,0.614,1088,5.1,122,109,3,2.1,0.164,0.2,2,2.2,1.6,18.7,10.6,28.1,19.3,21,1.4,2.9,18.7,16.3,C-F,plumlma01
Jakob Poeltl,0,2020-21,25,SAS,69,51,1845,265,430,265,430,0,0,63,124,219,328,547,134,47,123,83,172,593,0.616,0.616,,0.508,0.612,0.616,1089,5.7,123,109,3.2,2.5,0.148,-0.5,1.2,0.8,1.3,17.5,12.4,19.3,15.8,10.1,1.2,5.7,14.6,13.4,C,poeltja01
Aleksej Pokusevski,0,2020-21,19,OKC,45,28,1090,139,408,81,201,58,207,31,42,30,182,212,97,20,42,99,58,367,0.341,0.403,0.28,0.738,0.43,0.412,1090,-1.9,81,114,-2.9,1,-0.084,-5.1,-1,-6.1,-1.1,6.1,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,F,pokusal01
Kevin Porter Jr.,0,2020-21,20,HOU,26,23,835,156,367,106,206,50,161,69,94,20,79,99,164,19,8,91,61,431,0.425,0.515,0.311,0.734,0.528,0.493,1091,0,101,118,-0.3,0.3,0,-1.1,-2.4,-3.5,-0.3,12.5,2.4,10.5,6.3,31.2,1.1,0.9,18.2,25.4,G,porteke02
Michael Porter Jr.,0,2020-21,22,DEN,61,54,1912,443,817,273,435,170,382,106,134,91,354,445,70,40,54,77,126,1162,0.542,0.628,0.445,0.791,0.663,0.646,1092,6.9,125,112,4.8,2.1,0.173,4,-0.9,3.1,2.5,20.6,5.4,20.9,13.2,5.6,1,2.8,8.1,21.7,F,portemi01
